row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,Hoạt động cho thuê văn phòng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,Hoạt động khác > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,Loại trừ > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,numeric__Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,numeric__Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,numeric__Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,numeric__Hoạt động cho thuê văn phòng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,numeric__Hoạt động khác > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,numeric__Loại trừ > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến 31 tháng 12 năm 2016
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,9.762.268.557,254.943.070.198,71.856.012.456,16.122.134.204,8.946.836.262,-,361.630.321.677,9762268557.0,254943070198.0,71856012456.0,16122134204.0,8946836262.0,,361630321677.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,12.000.477.900,-,-,30.067.273,(12.030.545.173),-,,12000477900.0,,,30067273.0,-12030545173.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,9.762.268.557,266.943.548.098,71.856.012.456,16.122.134.204,8.976.903.535,(12.030.545.173),361.630.321.677,9762268557.0,266943548098.0,71856012456.0,16122134204.0,8976903535.0,-12030545173.0,361630321677.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,5.369.010.645,3.269.782.578,12.595.641.097,11.057.539.351,(2.211.020.745),-,30.080.952.926,5369010645.0,3269782578.0,12595641097.0,11057539351.0,-2211020745.0,,30080952926.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,(9.426.696.074),,,,,,,-9426696074.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,20.654.256.852,,,,,,,20654256852.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,(1.346.011.961),,,,,,,-1346011961.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,19.308.244.891,,,,,,,19308244891.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,-,-,-,180.586.137.528,-,-,180.586.137.528,,,,180586137528.0,,,180586137528.0
