row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công cụ dụng cụ chờ phân bổ,Ngắn hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,180.744.642,1.243.277.671,180744642.0,1243277671.0
Chi phí bảo hiểm,Ngắn hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,490.969,55.802.488,490969.0,55802488.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,2.437.545.488,202.055.313,2437545488.0,202055313.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.618.781.099,1.501.135.472,2618781099.0,1501135472.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công cụ dụng cụ chờ phân bổ,Dài hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,4.109.456.984,5.806.301.442,4109456984.0,5806301442.0
Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Dài hạn > Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Giá trị tiềm năng phát triển và giá trị thương hiệu (*),16.712.088.361,21.305.578.269,16712088361.0,21305578269.0
Chi phí sửa chữa TSCĐ,Dài hạn > Chi phí sửa chữa TSCĐ,Chi phí sửa chữa TSCĐ,5.245.790.198,-,5245790198.0,
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,151.479.565,281.073.467,151479565.0,281073467.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,26.218.815.108,27.392.953.178,26218815108.0,27392953178.0
