row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017,Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016đến ngày 31 tháng12 năm 2016(Trình bày lại),numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017,numeric__Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016đến ngày 31 tháng12 năm 2016(Trình bày lại)
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,730.064.172.805,361.630.321.677,730064172805.0,361630321677.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ kinh doanh gỗ,Trong đó: > Doanh thu từ kinh doanh gỗ,Doanh thu từ kinh doanh gỗ,372.592.908.293,254.943.070.198,372592908293.0,254943070198.0
Doanh thu từ bán ván MDF,Trong đó: > Doanh thu từ bán ván MDF,Doanh thu từ bán ván MDF,257.339.132.650,71.856.012.456,257339132650.0,71856012456.0
Doanh thu dịch vụ cho thuê,Trong đó: > Doanh thu dịch vụ cho thuê,Doanh thu dịch vụ cho thuê,50.074.488.866,16.122.134.204,50074488866.0,16122134204.0
Doanh thu của hoạt động khai thác rừngtrồng,Trong đó: > Doanh thu của hoạt động khai thác rừngtrồng,Doanh thu của hoạt động khai thác rừngtrồng,20.613.684.246,9.762.268.557,20613684246.0,9762268557.0
Doanh thu dịch vụ gia công gỗ,Trong đó: > Doanh thu dịch vụ gia công gỗ,Doanh thu dịch vụ gia công gỗ,5.785.289.246,3.640.458.989,5785289246.0,3640458989.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,23.658.669.504,5.306.377.273,23658669504.0,5306377273.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,,
Doanh thu thuần,Các khoản giảm trừ > Doanh thu thuần,Doanh thu thuần,730.064.172.805,361.630.321.677,730064172805.0,361630321677.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,644.001.643.630,201.921.641.196,644001643630.0,201921641196.0
Doanh thu đối với các bên liên quan(Thuyết minh số 32),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 32),Doanh thu đối với các bên liên quan(Thuyết minh số 32),86.062.529.175,159.708.680.481,86062529175.0,159708680481.0
