row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017,Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1tháng 9 năm 2016đến ngày 31 tháng12 năm 2016,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017,numeric__Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1tháng 9 năm 2016đến ngày 31 tháng12 năm 2016
Dự phòng tổn thất các khoản đầu tư tài chínhdài hạn,Dự phòng tổn thất các khoản đầu tư tài chínhdài hạn,Dự phòng tổn thất các khoản đầu tư tài chínhdài hạn,11.027.489.900,9.431.137.081,11027489900.0,9431137081.0
Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,1.055.315.653,580.837.731,1055315653.0,580837731.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,1.123.354.414,312.823.195,1123354414.0,312823195.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,163.814.873,19.809.064,163814873.0,19809064.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,13.369.974.840,10.344.607.071,13369974840.0,10344607071.0
