row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị còn lại,Số đầu năm (Trình bày lại) > Giá gốc,Số đầu năm (Trình bày lại) > Dự phòng,Số đầu năm (Trình bày lại) > Giá trị còn lại,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị còn lại,numeric__Số đầu năm (Trình bày lại) > Giá gốc,numeric__Số đầu năm (Trình bày lại) > Dự phòng,numeric__Số đầu năm (Trình bày lại) > Giá trị còn lại
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,323.833.507.159,(5.031.657.742),318.801.849.417,225.565.006.464,(2.664.752.791),222.900.253.673,323833507159.0,-5031657742.0,318801849417.0,225565006464.0,-2664752791.0,222900253673.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",553.319.168.167,(15.131.066.927),538.188.101.240,1.363.306.887.963,(6.766.384.290),1.356.540.503.673,553319168167.0,-15131066927.0,538188101240.0,1363306887963.0,-6766384290.0,1356540503673.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,28.008.334.175,-,28.008.334.175,29.782.126.607,-,29.782.126.607,28008334175.0,,28008334175.0,29782126607.0,,29782126607.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,905.161.009.501,(20.162.724.669),884.998.284.832,1.618.654.021.034,(9.431.137.081),1.609.222.883.953,905161009501.0,-20162724669.0,884998284832.0,1618654021034.0,-9431137081.0,1609222883953.0
"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:",,,,,,
,,,,,,,,Đơn vị tính: VND,,,,,,
,,,,,,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,,,,,,
Số đầu năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Số đầu năm",Số đầu năm,,,,9.431.137.081,-,-,,,,9431137081.0,,
Cộng: Dự phòng trích lập trong năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Cộng: Dự phòng trích lập trong năm",Cộng: Dự phòng trích lập trong năm,,,,11.027.489.900,9.431.137.082,9.431.137.082,,,,11027489900.0,9431137082.0,9431137082.0
Trừ: Sử dụng và hoàn nhập dự phòng trong năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Trừ: Sử dụng và hoàn nhập dự phòng trong năm",Trừ: Sử dụng và hoàn nhập dự phòng trong năm,,,,(295.902.312),-,-,,,,-295902312.0,,
Số cuối năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Số cuối năm",Số cuối năm,,,,20.162.724.669,9.431.137.082,9.431.137.082,,,,20162724669.0,9431137082.0,9431137082.0
