row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Cho năm tài chính kết thúc ngày 31 tháng12 năm 2017,Đơn vị tính: VNDCho giai đoạntài chính từ ngày1 tháng 9 năm2016 đến ngày31 tháng 12năm 2016,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Cho năm tài chính kết thúc ngày 31 tháng12 năm 2017,numeric__Đơn vị tính: VNDCho giai đoạntài chính từ ngày1 tháng 9 năm2016 đến ngày31 tháng 12năm 2016
Công ty TNHHMTV Lâm nghiệpLộc Bình,Công ty TNHHMTV Lâm nghiệpLộc Bình,Công ty TNHHMTV Lâm nghiệpLộc Bình,Công ty con,Cho vayGóp vốn bằng khoản phải thu về cho vayGóp vốn bằng tiềnDoanh thu cung cấp dịch vụ,6.106.000.00013.684.000.00010.300.000.00088.013.637,3.200.000.000----,,,6.10600000013684e+39,
Công ty Cổ phầnVinafor TâyNguyên,Công ty Cổ phầnVinafor TâyNguyên,Công ty Cổ phầnVinafor TâyNguyên,Công ty con,Thu nợ gốc,4.700.000.000,-,,,4700000000.0,
Công ty Cổ phầnGỗ lạng Buôn MaThuột,Công ty Cổ phầnGỗ lạng Buôn MaThuột,Công ty Cổ phầnGỗ lạng Buôn MaThuột,Công ty liên kết,Doanh thu bán hàng và cung cấp dịch vụ,5.627.825.195,1.944.567.715,,,5627825195.0,1944567715.0
Công ty Cổ phầnSản xuất & Xuấtnhập khẩu Lâmsản Naforimex HàNội,Công ty Cổ phầnSản xuất & Xuấtnhập khẩu Lâmsản Naforimex HàNội,Công ty Cổ phầnSản xuất & Xuấtnhập khẩu Lâmsản Naforimex HàNội,Công ty liên kết,Mua nguyên vật liệuDoanh thu cung cấp dịch vụ,55.266.355545.454,----,,,55266355545454.0,
Công ty Cổ phần19/5 Đoan Hùng,Công ty Cổ phần19/5 Đoan Hùng,Công ty Cổ phần19/5 Đoan Hùng,Công ty liên kết,Doanh thu cung cấp dịch vụ,79.953.637,-,,,79953637.0,
Công ty Cổ phầnCờ Đỏ,Công ty Cổ phầnCờ Đỏ,Công ty Cổ phầnCờ Đỏ,Công ty liên kết,Doanh thu cung cấp dịch vụ,71.754.545,-,,,71754545.0,
Công ty TNHHSản xuất Nguyênliệu Giấy Việt Nhật,Công ty TNHHSản xuất Nguyênliệu Giấy Việt Nhật,Công ty TNHHSản xuất Nguyênliệu Giấy Việt Nhật,Công ty liên kết,Doanh thu cung cấp dịch vụ,678.000.000,-,,,678000000.0,
Công ty Cổ phầnKon Hà Nùng,Công ty Cổ phầnKon Hà Nùng,Công ty Cổ phầnKon Hà Nùng,Công ty liên kết,"Chi phí thiết kế,quản lý bảo vệ rừng",538.712.868,-,,,538712868.0,
