row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,21.475.798.076,1.222.700.000,22.841.451.182,45.539.949.258,21475798076.0,1222700000.0,22841451182.0,45539949258.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,55.000.000,-,55.000.000,,55000000.0,,55000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,21.475.798.076,1.277.700.000,22.841.451.182,45.594.949.258,21475798076.0,1277700000.0,22841451182.0,45594949258.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,70.000.000,-,70.000.000,,70000000.0,,70000000.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,2.075.075.286,76.197.312,19.869.325.119,22.020.597.717,2075075286.0,76197312.0,19869325119.0,22020597717.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,388.103.964,215.998.493,1.432.023.432,2.036.125.889,388103964.0,215998493.0,1432023432.0,2036125889.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,2.463.179.250,292.195.805,21.301.348.551,24.056.723.606,2463179250.0,292195805.0,21301348551.0,24056723606.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,19.400.722.790,1.146.502.688,2.972.126.063,23.519.351.541,19400722790.0,1146502688.0,2972126063.0,23519351541.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,19.012.618.826,985.504.195,1.540.102.631,21.538.225.652,19012618826.0,985504195.0,1540102631.0,21538225652.0
