row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Tỷ lệ lợi ích (%),Số cuối năm > Tỷ lệ quyền biểu quyết (%),Số đầu năm > Tỷ lệ lợi ích (%),Số đầu năm > Tỷ lệ quyền biểu quyết (%),numeric__Số cuối năm > Tỷ lệ lợi ích (%),numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%),numeric__Số đầu năm > Tỷ lệ lợi ích (%),numeric__Số đầu năm > Tỷ lệ quyền biểu quyết (%)
Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,,,,
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,"100,00","100,00","100,00","100,00",100.0,100.0,100.0,100.0
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,"100,00","100,00","100,00","100,00",100.0,100.0,100.0,100.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,"100,00","100,00","100,00","100,00",100.0,100.0,100.0,100.0
Công ty TNHH MTV Lâm nghiệp Lộc Bình,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,"100,00","100,00","100,00","100,00",100.0,100.0,100.0,100.0
Công ty TNHH MTV Lâm nghiệp Đình Lập,Các công ty con là công ty TNHH Một thành viên > Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,"100,00","100,00","100,00","100,00",100.0,100.0,100.0,100.0
Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,,,,
Công ty Cổ phần Cẩm Hà,Các công ty con là công ty cổ phần > Công ty Cổ phần Cẩm Hà,Công ty Cổ phần Cẩm Hà,"51,00","51,00","51,00","51,00",51.0,51.0,51.0,51.0
Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Các công ty con là công ty cổ phần > Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,"51,70","51,70","51,70","51,70",51.7,51.7,51.7,51.7
Công ty Cổ phần Vinafor Đà Nẵng,Các công ty con là công ty cổ phần > Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,"51,01","51,01","51,01","51,01",51.01,51.01,51.01,51.01
