row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về cổ phần hóa (*),Ngắn hạn > Phải trả về cổ phần hóa (*),Phải trả về cổ phần hóa (*),16.548.893.851,544.655.473.634,16548893851.0,544655473634.0
"Kinh phí đo đạc, cấm mốc, cấp giấy Chứng nhận Quyền sử dụng đất (**)","Ngắn hạn > Kinh phí đo đạc, cấm mốc, cấp giấy Chứng nhận Quyền sử dụng đất (**)","Kinh phí đo đạc, cấm mốc, cấp giấy Chứng nhận Quyền sử dụng đất (**)",49.681.062.867,50.000.000.000,49681062867.0,50000000000.0
"Nhận ký quỹ, ký cược ngăn hạn","Ngắn hạn > Nhận ký quỹ, ký cược ngăn hạn","Nhận ký quỹ, ký cược ngăn hạn",890.184.429,1.004.424.429,890184429.0,1004424429.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,4.296.245.330,3.604.577.358,4296245330.0,3604577358.0
Các khoản phải trả phải nộp khác,Ngắn hạn > Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,11.426.249.802,10.046.404.975,11426249802.0,10046404975.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,82.842.636.279,609.310.880.396,82842636279.0,609310880396.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngăn hạn khác các bên khác,Trong đó: > Phải trả ngăn hạn khác các bên khác,Phải trả ngăn hạn khác các bên khác,82.831.660.374,609.309.866.492,82831660374.0,609309866492.0
Phải trả ngăn hạn khác cho các bên liên quan (Thuyết minh số 32),Trong đó: > Phải trả ngăn hạn khác cho các bên liên quan (Thuyết minh số 32),Phải trả ngăn hạn khác cho các bên liên quan (Thuyết minh số 32),10.975.905,1.013.904,10975905.0,1013904.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",11.452.216.405,8.454.336.476,11452216405.0,8454336476.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,11.452.216.405,8.454.336.476,11452216405.0,8454336476.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác các bên khác,Trong đó: > Phải trả dài hạn khác các bên khác,Phải trả dài hạn khác các bên khác,10.236.680.725,7.238.800.796,10236680725.0,7238800796.0
Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 32),Trong đó: > Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 32),Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 32),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
