row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (trình bày lại),numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Đơn vị tính: VNDCho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016 (trình bày lại)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,397.667.060.212,20.654.256.852,397667060212.0,20654256852.0
Lợi nhuận không chịu thuế,Lợi nhuận không chịu thuế,Lợi nhuận không chịu thuế,354.622.359.266,7.405.257.206,354622359266.0,7405257206.0
Lợi nhuận chịu thuế suất 10%,Lợi nhuận chịu thuế suất 10%,Lợi nhuận chịu thuế suất 10%,-,2.252.218.686,,2252218686.0
Lợi nhuận chịu thuế suất 20%,Lợi nhuận chịu thuế suất 20%,Lợi nhuận chịu thuế suất 20%,49.198.178.714,13.432.847.488,49198178714.0,13432847488.0
Lỗ hoạt động tại chi nhánh,Lỗ hoạt động tại chi nhánh,Lỗ hoạt động tại chi nhánh,(6.153.477.768),(1.776.587.069),-6153477768.0,-1776587069.0
Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,8.608.940.189,2.781.695.821,8608940189.0,2781695821.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh: > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,578.801.848,21.880.119,578801848.0,21880119.0
Lỗ chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Các khoản điều chỉnh: > Lỗ chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Lỗ chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,95.930.727,-,95930727.0,
Lãi chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Các khoản điều chỉnh: > Lãi chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Lãi chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,-,(315.380.353),,-315380353.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,(1.142.183.626),,-1142183626.0
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,9.283.672.764,1.346.011.961,9283672764.0,1346011961.0
