row_label_raw,row_label_full,col_0,Nhà cửa,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),175.016.059.744,50.725.170.176,225.741.229.920,175016059744.0,50725170176.0,225741229920.0
- Thanh lý tài sản,Nguyên giá: > - Thanh lý tài sản,- Thanh lý tài sản,(7.674.415.669),-,(7.674.415.669),-7674415669.0,,-7674415669.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,-,62.395.291,62.395.291,,62395291.0,62395291.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,167.341.644.075,50.787.565.467,218.129.209.542,167341644075.0,50787565467.0,218129209542.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm (Trình bày lại),Giá trị khấu hao lũy kế > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),27.955.436.926,17.199.655.466,45.155.092.392,27955436926.0,17199655466.0,45155092392.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,5.003.608.903,5.236.665.328,10.240.274.231,5003608903.0,5236665328.0,10240274231.0
- Giảm do thanh lý,Giá trị khấu hao lũy kế > - Giảm do thanh lý,- Giảm do thanh lý,(5.847.991.792),-,(5.847.991.792),-5847991792.0,,-5847991792.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,27.111.054.037,22.436.320.794,49.547.374.831,27111054037.0,22436320794.0,49547374831.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),147.060.622.818,33.525.514.710,180.586.137.528,147060622818.0,33525514710.0,180586137528.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,140.230.590.038,28.351.244.673,168.581.834.711,140230590038.0,28351244673.0,168581834711.0
