row_label_raw,row_label_full,col_0,Căn hộ cho thuê,Cộng,numeric__Căn hộ cho thuê,numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu Năm,Nguyên giá > Số dư đầu Năm,Số dư đầu Năm,229.273.003.492,229.273.003.492,229273003492.0,229273003492.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(375.754.114),(375.754.114),-375754114.0,-375754114.0
Số dư cuối Năm,Nguyên giá > Số dư cuối Năm,Số dư cuối Năm,228.897.249.378,228.897.249.378,228897249378.0,228897249378.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu Năm,Giá trị hao mòn lũy kế > Số dư đầu Năm,Số dư đầu Năm,21.674.976.253,21.674.976.253,21674976253.0,21674976253.0
- Khấu hao trong Năm,Giá trị hao mòn lũy kế > - Khấu hao trong Năm,- Khấu hao trong Năm,8.803.740.360,8.803.740.360,8803740360.0,8803740360.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,1.679.367.615,1.679.367.615,1679367615.0,1679367615.0
Số dư cuối Năm,Giá trị hao mòn lũy kế > Số dư cuối Năm,Số dư cuối Năm,32.158.084.228,32.158.084.228,32158084228.0,32158084228.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu Năm,Giá trị còn lại > Tại ngày đầu Năm,Tại ngày đầu Năm,207.598.027.239,207.598.027.239,207598027239.0,207598027239.0
Tại ngày cuối Năm,Giá trị còn lại > Tại ngày cuối Năm,Tại ngày cuối Năm,196.739.165.150,196.739.165.150,196739165150.0,196739165150.0
