row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntài, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntài, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu Năm,Nguyên giá > Số dư đầu Năm,Số dư đầu Năm,16.237.368.244,1.633.829.496,13.251.615.329,651.176.071,31.773.989.140,16237368244.0,1633829496.0,13251615329.0,651176071.0,31773989140.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(81.079.968),-,-,-,(81.079.968),-81079968.0,,,,-81079968.0
Số dư cuối Năm,Nguyên giá > Số dư cuối Năm,Số dư cuối Năm,16.156.288.276,1.633.829.496,13.251.615.329,651.176.071,31.692.909.172,16156288276.0,1633829496.0,13251615329.0,651176071.0,31692909172.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu Năm,Giá trị hao mòn lũy kế > Số dư đầu Năm,Số dư đầu Năm,2.274.516.631,1.351.447.188,5.547.179.843,638.261.579,9.811.405.241,2274516631.0,1351447188.0,5547179843.0,638261579.0,9811405241.0
- Khấu hao trong Năm,Giá trị hao mòn lũy kế > - Khấu hao trong Năm,- Khấu hao trong Năm,465.866.220,83.154.408,1.565.660.154,12.914.492,2.127.595.274,465866220.0,83154408.0,1565660154.0,12914492.0,2127595274.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,120.070.878,-,-,-,120.070.878,120070878.0,,,,120070878.0
Số dư cuối Năm,Giá trị hao mòn lũy kế > Số dư cuối Năm,Số dư cuối Năm,2.860.453.729,1.434.601.596,7.112.839.997,651.176.071,12.059.071.393,2860453729.0,1434601596.0,7112839997.0,651176071.0,12059071393.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu Năm,Giá trị còn lại > Tại ngày đầu Năm,Tại ngày đầu Năm,13.962.851.613,282.382.308,7.704.435.486,12.914.492,21.962.583.899,13962851613.0,282382308.0,7704435486.0,12914492.0,21962583899.0
Tại ngày cuối Năm,Giá trị còn lại > Tại ngày cuối Năm,Tại ngày cuối Năm,13.295.834.547,199.227.900,6.138.775.332,-,19.633.837.779,13295834547.0,199227900.0,6138775332.0,,19633837779.0
