row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu Năm trước,Số dư đầu Năm trước,Số dư đầu Năm trước,2.747.440.630.000,139.338.931.645,19.572.915.034,725.292.256.950,74.414.416.666,3.706.059.150.295,2747440630000.0,139338931645.0,19572915034.0,725292256950.0,74414416666.0,3706059150295.0
Tăng vốn trong Năm trước,Tăng vốn trong Năm trước,Tăng vốn trong Năm trước,137.362.580.000,(137.362.580.000),-,-,-,-,137362580000.0,-137362580000.0,,,,
Lãi trong Năm trước,Lãi trong Năm trước,Lãi trong Năm trước,-,-,-,232.769.603.773,3.630.826.727,236.400.430.500,,,,232769603773.0,3630826727.0,236400430500.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,329.678.320.000,-,-,(329.678.320.000),-,-,329678320000.0,,,-329678320000.0,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,(416.540.660),-,(416.540.660),,,,-416540660.0,,-416540660.0
Số dư cuối Năm trước,Số dư cuối Năm trước,Số dư cuối Năm trước,3.214.481.530.000,1.976.351.645,19.572.915.034,627.967.000.063,78.045.243.393,3.942.043.040.135,3214481530000.0,1976351645.0,19572915034.0,627967000063.0,78045243393.0,3942043040135.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.214.481.530.000,1.976.351.645,19.572.915.034,627.967.000.063,78.045.243.393,3.942.043.040.135,3214481530000.0,1976351645.0,19572915034.0,627967000063.0,78045243393.0,3942043040135.0
Lãi trong Năm nay,Lãi trong Năm nay,Lãi trong Năm nay,-,-,-,221.996.674.167,2.616.078.076,224.612.752.243,,,,221996674167.0,2616078076.0,224612752243.0
Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,-,-,-,8.516.837,(8.516.837),-,,,,8516837.0,-8516837.0,
Giảm khác,Giảm khác,Giảm khác,-,-,-,2.306.361.829,(2.825.624.866),(519.263.037),,,,2306361829.0,-2825624866.0,-519263037.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.214.481.530.000,1.976.351.645,19.572.915.034,852.278.552.896,77.827.179.766,4.166.136.529.341,3214481530000.0,1976351645.0,19572915034.0,852278552896.0,77827179766.0,4166136529341.0
