row_label_raw,row_label_full,Tại ngày 31/12/2022,Từ 1 năm trở xuống > VND,Trên 1 năm đến 5 năm > VND,Trên 5 năm > VND,Cộng > VND,numeric__Từ 1 năm trở xuống > VND,numeric__Trên 1 năm đến 5 năm > VND,numeric__Trên 5 năm > VND,numeric__Cộng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,237.757.092.560,-,-,237.757.092.560,237757092560.0,,,237757092560.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",33.913.296.277,-,-,33.913.296.277,33913296277.0,,,33913296277.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,473.346.594.521,4.000.000.000,-,477.346.594.521,473346594521.0,4000000000.0,,477346594521.0
,,,745.016.983.358,4.000.000.000,-,749.016.983.358,745016983358.0,4000000000.0,,749016983358.0
,,,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,,,,
Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,,,,,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2022 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,80.630.981.005,-,-,80.630.981.005,80630981005.0,,,80630981005.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2022 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",52.242.492.879,-,-,52.242.492.879,52242492879.0,,,52242492879.0
Các khoản cho vay,Tại ngày 01/01/2022 > Các khoản cho vay,Các khoản cho vay,367.976.000.000,-,-,367.976.000.000,367976000000.0,,,367976000000.0
,,,500.849.473.884,-,-,500.849.473.884,500849473884.0,,,500849473884.0
