row_label_raw,row_label_full,col_0,Cuối Năm,Tỷ lệ,Đầu kỳ,Tỷ lệ_1,numeric__Cuối Năm,numeric__Tỷ lệ,numeric__Đầu kỳ,numeric__Tỷ lệ_1
,,,VND,%,VND,%,,,,
Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,1.641.385.200.000,"51,06%",1.641.385.200.000,"51,06%",1641385200000.0,0.5106,1641385200000.0,0.5106
Cổ đông khác,Cổ đông khác,Cổ đông khác,1.573.096.330.000,"48,94%",1.573.096.330.000,"48,94%",1573096330000.0,0.4894,1573096330000.0,0.4894
,,,3.214.481.530.000,"100,00%",3.214.481.530.000,"100,00%",3214481530000.0,1.0,3214481530000.0,1.0
