row_label_raw,row_label_full,Cổ phiếu,31/12/2015,01/01/2015,numeric__31/12/2015,numeric__01/01/2015
Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,,
Số lượng cổ phần đăng ký phát hành,Cổ phiếu > Số lượng cổ phần đăng ký phát hành,Số lượng cổ phần đăng ký phát hành,117.263.570,75.000.000,117263570.0,75000000.0
Số lượng cổ phần đã bán ra công chúng,Cổ phiếu > Số lượng cổ phần đã bán ra công chúng,Số lượng cổ phần đã bán ra công chúng,117.263.570,75.000.000,117263570.0,75000000.0
- Cổ phần phố thông,Cổ phiếu > - Cổ phần phố thông,- Cổ phần phố thông,117.263.570,75.000.000,117263570.0,75000000.0
- Cổ phần ưu đãi,- Cổ phần ưu đãi,- Cổ phần ưu đãi,-,-,,
Số lượng cổ phiếu đã mua lại,- Cổ phần ưu đãi > Số lượng cổ phiếu đã mua lại,Số lượng cổ phiếu đã mua lại,(58.000),(58.000),-58000.0,-58000.0
- Cổ phần phố thông,- Cổ phần ưu đãi > - Cổ phần phố thông,- Cổ phần phố thông,(58.000),(58.000),-58000.0,-58000.0
- Cổ phần ưu đãi,- Cổ phần ưu đãi,- Cổ phần ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phần ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,117.205.570,74.942.000,117205570.0,74942000.0
- Cổ phần phố thông,- Cổ phần ưu đãi > - Cổ phần phố thông,- Cổ phần phố thông,117.205.570,74.942.000,117205570.0,74942000.0
- Cổ phần ưu đãi,- Cổ phần ưu đãi,- Cổ phần ưu đãi,-,-,,
