row_label_raw,row_label_full,Tên bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty TNHH XD-TM-DV Hà Thuận Hùng,Công ty TNHH XD-TM-DV Hà Thuận Hùng,Công ty TNHH XD-TM-DV Hà Thuận Hùng,Công ty con đầu tư trực tiếp,
Công ty CP Xây dựng Địa Ốc Long Kim Phát,Công ty CP Xây dựng Địa Ốc Long Kim Phát,Công ty CP Xây dựng Địa Ốc Long Kim Phát,Công ty con đầu tư trực tiếp,
Công ty Cổ Phần Xây dựng ECI,Công ty Cổ Phần Xây dựng ECI,Công ty Cổ Phần Xây dựng ECI,Công ty con đầu tư trực tiếp,
Công ty CP Đất Xanh Đông Nam Bộ,Công ty CP Đất Xanh Đông Nam Bộ,Công ty CP Đất Xanh Đông Nam Bộ,Công ty con đầu tư trực tiếp,
Công ty CP Địa Ốc Đồng Bằng Sông Cửu Long,Công ty CP Địa Ốc Đồng Bằng Sông Cửu Long,Công ty CP Địa Ốc Đồng Bằng Sông Cửu Long,Công ty con đầu tư trực tiếp,
Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty con đầu tư trực tiếp,
Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty con đầu tư trực tiếp,
Công ty Cổ Phần Đất Xanh Miền Trung,Công ty Cổ Phần Đất Xanh Miền Trung,Công ty Cổ Phần Đất Xanh Miền Trung,Công ty con đầu tư trực tiếp,
Công ty TNHH Đầu Tư XD TM Xuân Định,Công ty TNHH Đầu Tư XD TM Xuân Định,Công ty TNHH Đầu Tư XD TM Xuân Định,Công ty con đầu tư trực tiếp,
Công ty Cổ Phần Địa Ốc Tâm Thông,Công ty Cổ Phần Địa Ốc Tâm Thông,Công ty Cổ Phần Địa Ốc Tâm Thông,Công ty con đầu tư trực tiếp,
Công ty Cổ phần In Nông Nghiệp,Công ty Cổ phần In Nông Nghiệp,Công ty Cổ phần In Nông Nghiệp,Công ty con đầu tư trực tiếp,
Công ty Cổ Phần Đầu tư LDG,Công ty Cổ Phần Đầu tư LDG,Công ty Cổ Phần Đầu tư LDG,Công ty liên kết,
Ông Lương Trí Thin,Ông Lương Trí Thin,Ông Lương Trí Thin,Chủ tịch HĐQT/ Tổng Giám Đốc,
Ông Phạm Linh,Ông Phạm Linh,Ông Phạm Linh,Phó Chủ tịch HĐQT,
Ông Nguyễn Khánh Hưng,Ông Nguyễn Khánh Hưng,Ông Nguyễn Khánh Hưng,Thành viên HĐQT/ Phó Tổng Giám Đốc,
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Thành viên HĐQT,
Ông Lương Trí Thảo,Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên HĐQT,
Ông Lương Trí Tú,Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông/ Thù quỹ,
