row_label_raw,row_label_full,(1) Chi tiết như sau:,(1) Chi tiết như sau:_1,(1) Chi tiết như sau:_2,(1) Chi tiết như sau:_3,(1) Chi tiết như sau:_4,(1) Chi tiết như sau:_5,(1) Chi tiết như sau:_6,numeric__(1) Chi tiết như sau:_1,numeric__(1) Chi tiết như sau:_2,numeric__(1) Chi tiết như sau:_3,numeric__(1) Chi tiết như sau:_4,numeric__(1) Chi tiết như sau:_5,numeric__(1) Chi tiết như sau:_6
,,,31/12/2015,31/12/2015,31/12/2015,01/01/2015,01/01/2015,01/01/2015,,,,,,
,,,Giá gốcVNĐ,Giá trị hợp lýVNĐ,Dự phòngVNĐ,Giá gốcVNĐ,Giá trị hợp lýVNĐ,Dự phòngVNĐ,,,,,,
Công ty Con:,Công ty Con:,Công ty Con:,,,,,,,,,,,,
Công ty TNHH XD TM DV Hà Thuận Hùng,Công ty Con: > Công ty TNHH XD TM DV Hà Thuận Hùng,Công ty TNHH XD TM DV Hà Thuận Hùng,235.740.000.000,235.740.000.000,-,125.740.000.000,125.740.000.000,-,235740000000.0,235740000000.0,,125740000000.0,125740000000.0,
Công ty CP Xây dựng Địa Ốc Long Kim Phát,Công ty Con: > Công ty CP Xây dựng Địa Ốc Long Kim Phát,Công ty CP Xây dựng Địa Ốc Long Kim Phát,99.839.000.000,99.839.000.000,-,53.839.000.000,53.839.000.000,-,99839000000.0,99839000000.0,,53839000000.0,53839000000.0,
Công ty CP Đất Xanh Miền Trung,Công ty Con: > Công ty CP Đất Xanh Miền Trung,Công ty CP Đất Xanh Miền Trung,38.500.000.000,38.500.000.000,-,17.600.000.000,17.600.000.000,-,38500000000.0,38500000000.0,,17600000000.0,17600000000.0,
Công ty CP Đất Xanh Đông Nam Bộ,Công ty Con: > Công ty CP Đất Xanh Đông Nam Bộ,Công ty CP Đất Xanh Đông Nam Bộ,3.060.000.000,3.060.000.000,-,3.060.000.000,1.464.900.222,(1.595.099.778),3060000000.0,3060000000.0,,3060000000.0,1464900222.0,-1595099778.0
Công ty CP DV & Địa Ốc Đất Xanh Miền Bắc,Công ty Con: > Công ty CP DV & Địa Ốc Đất Xanh Miền Bắc,Công ty CP DV & Địa Ốc Đất Xanh Miền Bắc,40.209.100.009,40.209.100.009,-,24.909.100.009,24.909.100.009,-,40209100009.0,40209100009.0,,24909100009.0,24909100009.0,
Công ty CP ĐT và DV Đất Xanh Miền Nam,Công ty Con: > Công ty CP ĐT và DV Đất Xanh Miền Nam,Công ty CP ĐT và DV Đất Xanh Miền Nam,17.850.000.000,17.850.000.000,-,5.100.000.000,5.100.000.000,-,17850000000.0,17850000000.0,,5100000000.0,5100000000.0,
Công ty CP Địa Ốc Đồng Bằng Sông Cửu Long,Công ty Con: > Công ty CP Địa Ốc Đồng Bằng Sông Cửu Long,Công ty CP Địa Ốc Đồng Bằng Sông Cửu Long,2.700.000.000,33.957.984,(2.666.042.016),2.700.000.000,33.957.984,(2.666.042.016),2700000000.0,33957984.0,-2666042016.0,2700000000.0,33957984.0,-2666042016.0
Công ty CP Xây dựng ECI,Công ty Con: > Công ty CP Xây dựng ECI,Công ty CP Xây dựng ECI,31.914.675.000,30.588.735.249,(1.325.939.751),16.914.675.000,14.739.553.424,(2.175.121.576),31914675000.0,30588735249.0,-1325939751.0,16914675000.0,14739553424.0,-2175121576.0
Công ty TNHH ĐT XD TM Xuân Định,Công ty Con: > Công ty TNHH ĐT XD TM Xuân Định,Công ty TNHH ĐT XD TM Xuân Định,70.000.000.000,70.000.000.000,-,-,-,-,70000000000.0,70000000000.0,,,,
Công ty CP Địa Ốc Tâm Thông,Công ty Con: > Công ty CP Địa Ốc Tâm Thông,Công ty CP Địa Ốc Tâm Thông,152.000.000.000,152.000.000.000,-,-,-,-,152000000000.0,152000000000.0,,,,
Công ty CP In Nông Nghiệp,Công ty Con: > Công ty CP In Nông Nghiệp,Công ty CP In Nông Nghiệp,71.985.600.000,71.985.600.000,-,-,-,-,71985600000.0,71985600000.0,,,,
,,,763.798.375.009,759.806.393.242,(3.991.981.767),249.862.775.009,243.426.511.639,(6.436.263.370),763798375009.0,759806393242.0,-3991981767.0,249862775009.0,243426511639.0,-6436263370.0
