row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,01/01/2015,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__01/01/2015
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,1.830.689.107.453,1.401.489.914.073,100.0,,1830689107453.0,1401489914073.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,648.103.892.821,708.266.611.218,110.0,5.0,648103892821.0,708266611218.0
1. Tiền,1. Tiền,1. Tiền,111,,52.155.090.435,114.382.877.467,111.0,,52155090435.0,114382877467.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,595.948.802.386,593.883.733.751,112.0,,595948802386.0,593883733751.0
II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,120,,-,-,120.0,,,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,6,507.194.152.366,382.949.275.476,130.0,6.0,507194152366.0,382949275476.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,60.935.895.009,55.500.674.596,131.0,,60935895009.0,55500674596.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,93.433.737.109,80.413.485.626,132.0,,93433737109.0,80413485626.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,,28.695.409.721,27.611.336.802,135.0,,28695409721.0,27611336802.0
4. Các khoản phải thu khác,4. Các khoản phải thu khác,4. Các khoản phải thu khác,136,,338.968.458.325,228.884.365.250,136.0,,338968458325.0,228884365250.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,,(14.839.347.798),(9.460.586.798),137.0,,-14839347798.0,-9460586798.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,7,673.886.061.511,310.053.808.695,140.0,7.0,673886061511.0,310053808695.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,673.886.061.511,310.053.808.695,141.0,,673886061511.0,310053808695.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,1.505.000.755,220.218.684,150.0,,1505000755.0,220218684.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,195.016.339,220.218.684,151.0,,195016339.0,220218684.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,1.309.984.416,-,152.0,,1309984416.0,
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,992.628.960.756,426.806.053.697,200.0,,992628960756.0,426806053697.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,712.168.460,800.334.726,210.0,,712168460.0,800334726.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,,712.168.460,800.334.726,216.0,,712168460.0,800334726.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,7.616.719.192,3.445.164.553,220.0,,7616719192.0,3445164553.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,8,6.962.768.717,2.735.987.728,221.0,8.0,6962768717.0,2735987728.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,13.967.973.599,8.221.312.489,222.0,,13967973599.0,8221312489.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(7.005.204.882),(5.485.324.761),223.0,,-7005204882.0,-5485324761.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,9,653.950.475,709.176.825,227.0,9.0,653950475.0,709176825.0
