row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,2015,2014,numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014
1. Doanh thu bán hàng,1. Doanh thu bán hàng,1. Doanh thu bán hàng,01,,538.283.774.526,151.599.494.978,1.0,,538283774526.0,151599494978.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,(13.681.265.092),2.0,,,-13681265092.0
3. Doanh thu thuần bán hàng,3. Doanh thu thuần bán hàng,3. Doanh thu thuần bán hàng,10,19,538.283.774.526,137.918.229.886,10.0,19.0,538283774526.0,137918229886.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,20,356.544.627.588,44.110.929.038,11.0,20.0,356544627588.0,44110929038.0
5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,20,,181.739.146.938,93.807.300.848,20.0,,181739146938.0,93807300848.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,21,82.681.185.862,117.809.479.625,21.0,21.0,82681185862.0,117809479625.0
7. Chi phí hoạt động tài chính Trong đó: chi phí lãi vay,7. Chi phí hoạt động tài chính Trong đó: chi phí lãi vay,7. Chi phí hoạt động tài chính Trong đó: chi phí lãi vay,22 23,22,1.381.152.653 14.133.519,(7.274.304.769) (7.274.304.769),,22.0,,
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,24,23,26.958.538.374,10.064.354.233,24.0,23.0,26958538374.0,10064354233.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,25,24,68.586.273.078,47.755.311.069,25.0,24.0,68586273078.0,47755311069.0
10. Lãi từ hoạt động kinh doanh,10. Lãi từ hoạt động kinh doanh,10. Lãi từ hoạt động kinh doanh,30,,167.494.368.695,161.071.419.940,30.0,,167494368695.0,161071419940.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,6.039.282.202,1.256.926.650,31.0,,6039282202.0,1256926650.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,1.827.339.403,789.565.733,32.0,,1827339403.0,789565733.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,25,4.211.942.799,467.360.917,40.0,25.0,4211942799.0,467360917.0
14. Lãi kế toán trước thuế,14. Lãi kế toán trước thuế,14. Lãi kế toán trước thuế,50,,171.706.311.494,161.538.780.857,50.0,,171706311494.0,161538780857.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,26,31.286.911.583,23.352.195.283,51.0,26.0,31286911583.0,23352195283.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,(3.060.734.533),-,52.0,,-3060734533.0,
17. Lãi sau thuế thu nhập doanh nghiệp,17. Lãi sau thuế thu nhập doanh nghiệp,17. Lãi sau thuế thu nhập doanh nghiệp,60,,143.480.134.444,138.186.585.574,60.0,,143480134444.0,138186585574.0
18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,61,27,1.331,1.932,61.0,27.0,1331.0,1932.0
19. Lãi suy giảm trên cổ phiếu,19. Lãi suy giảm trên cổ phiếu,19. Lãi suy giảm trên cổ phiếu,71,,1.331,1.932,71.0,,1331.0,1932.0
