row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ Đầu tư & Phát triển VND,Quỹ dự phòng tài chính VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn điều lệ VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ Đầu tư & Phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 01/01/2014,Tại ngày 01/01/2014,Tại ngày 01/01/2014,527.996.810.000,10.982.380.806,-,683.261.215,9.110.907.946,65.643.671.762,614.417.031.729,527996810000.0,10982380806.0,,683261215.0,9110907946.0,65643671762.0,614417031729.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,222.003.190.000,-,(580.000.000),-,-,-,221.423.190.000,222003190000.0,,-580000000.0,,,,221423190000.0
Lợi nhuận,Lợi nhuận,Lợi nhuận,-,-,-,-,-,138.186.585.574,138.186.585.574,,,,,,138186585574.0,138186585574.0
Trích quỹ,Trích quỹ,Trích quỹ,-,-,-,-,1.655.279.872,(1.655.279.872),-,,,,,1655279872.0,-1655279872.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(7.069.878.915),(7.069.878.915),,,,,,-7069878915.0,-7069878915.0
Giảm khác,Giảm khác,Giảm khác,-,(114.400.000),-,-,-,(365.801.989),(480.201.989),,-114400000.0,,,,-365801989.0,-480201989.0
Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,750.000.000.000,10.867.980.806,(580.000.000),683.261.215,10.766.187.818,194.739.296.560,966.476.726.399,750000000000.0,10867980806.0,-580000000.0,683261215.0,10766187818.0,194739296560.0,966476726399.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,422.635.700.000,-,-,-,-,(161.635.700.000),261.000.000.000,422635700000.0,,,,,-161635700000.0,261000000000.0
Lợi nhuận,Lợi nhuận,Lợi nhuận,-,-,-,-,-,143.480.134.444,143.480.134.444,,,,,,143480134444.0,143480134444.0
Trích quỹ ĐTPT,Trích quỹ ĐTPT,Trích quỹ ĐTPT,-,-,-,3.356.689.793,-,(3.356.689.793),-,,,,3356689793.0,,-3356689793.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(10.533.448.964),(10.533.448.964),,,,,,-10533448964.0,-10533448964.0
Điều chuyển quỹ theo TT200,Điều chuyển quỹ theo TT200,Điều chuyển quỹ theo TT200,-,-,-,10.766.187.818,(10.766.187.818),-,-,,,,10766187818.0,-10766187818.0,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(4.000.000.000),(4.000.000.000),,,,,,-4000000000.0,-4000000000.0
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.172.635.700.000,10.867.980.806,(580.000.000),14.806.138.826,-,158.693.592.247,1.356.423.411.879,1172635700000.0,10867980806.0,-580000000.0,14806138826.0,,158693592247.0,1356423411879.0
