row_label_raw,row_label_full,col_0,31/12/2015,1/1/2015,numeric__31/12/2015,numeric__1/1/2015
Khoản phải thu,Khoản phải thu,Khoản phải thu,VND,VND,,
Công ty CP ĐT & DV Đất Xanh Miền Nam,Khoản phải thu > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,8.519.745.659,7.062.016.395,8519745659.0,7062016395.0
Công ty CP Xây dựng ECI,Khoản phải thu > Công ty CP Xây dựng ECI,Công ty CP Xây dựng ECI,-,15.012.236.331,,15012236331.0
Công ty CP Xây dựng Địa Ốc Long Kim Phát,Khoản phải thu > Công ty CP Xây dựng Địa Ốc Long Kim Phát,Công ty CP Xây dựng Địa Ốc Long Kim Phát,134.087.071,460.262.527,134087071.0,460262527.0
Công Ty Cổ Phần DV và ĐT Đất Xanh Đông Nam Bộ,Khoản phải thu > Công Ty Cổ Phần DV và ĐT Đất Xanh Đông Nam Bộ,Công Ty Cổ Phần DV và ĐT Đất Xanh Đông Nam Bộ,132.872.056,132.872.056,132872056.0,132872056.0
Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Khoản phải thu > Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,9.175.287.655,943.281.686,9175287655.0,943281686.0
Công ty CP Đất Xanh Miền Trung,Khoản phải thu > Công ty CP Đất Xanh Miền Trung,Công ty CP Đất Xanh Miền Trung,6.143.600.053,764.286.484,6143600053.0,764286484.0
Nguyễn Khánh Hưng,Khoản phải thu > Nguyễn Khánh Hưng,Nguyễn Khánh Hưng,1.204.322.600,13.415.670,1204322600.0,13415670.0
Công ty CP Đầu tư LDG,Khoản phải thu > Công ty CP Đầu tư LDG,Công ty CP Đầu tư LDG,745.000.000,-,745000000.0,
Lương Trí Tú,Khoản phải thu > Lương Trí Tú,Lương Trí Tú,5.423.737.866,9.603.978.630,5423737866.0,9603978630.0
Phải thu góp vốn hợp tác kinh doanh,Phải thu góp vốn hợp tác kinh doanh,Phải thu góp vốn hợp tác kinh doanh,Phải thu góp vốn hợp tác kinh doanh,Phải thu góp vốn hợp tác kinh doanh,,
Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Phải thu góp vốn hợp tác kinh doanh > Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,136.879.031.085,-,136879031085.0,
Công ty CP Đất Xanh Miền Trung,Phải thu góp vốn hợp tác kinh doanh > Công ty CP Đất Xanh Miền Trung,Công ty CP Đất Xanh Miền Trung,10.419.000.000,-,10419000000.0,
Công ty CP ĐT & DV Đất Xanh Miền Nam,Phải thu góp vốn hợp tác kinh doanh > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,46.434.898.821,-,46434898821.0,
Phải thu về tài trợ vốn,Phải thu về tài trợ vốn,Phải thu về tài trợ vốn,Phải thu về tài trợ vốn,Phải thu về tài trợ vốn,,
Công ty CP Đầu tư LDG,Phải thu về tài trợ vốn > Công ty CP Đầu tư LDG,Công ty CP Đầu tư LDG,10.000.000.000,25.000.000.000,10000000000.0,25000000000.0
Phải thu cổ tức và lãi hỗ trợ vốn,Phải thu cổ tức và lãi hỗ trợ vốn,Phải thu cổ tức và lãi hỗ trợ vốn,Phải thu cổ tức và lãi hỗ trợ vốn,Phải thu cổ tức và lãi hỗ trợ vốn,,
Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Phải thu cổ tức và lãi hỗ trợ vốn > Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,892.500.000,1.076.100.000,892500000.0,1076100000.0
Công ty CP Đầu tư LDG,Phải thu cổ tức và lãi hỗ trợ vốn > Công ty CP Đầu tư LDG,Công ty CP Đầu tư LDG,4.375.125.000,2.792.625.000,4375125000.0,2792625000.0
Các khoản phải trả,Các khoản phải trả,Các khoản phải trả,Các khoản phải trả,Các khoản phải trả,,
Công Ty Cổ Phần DV và ĐT Đất Xanh Đông Nam Bộ,Các khoản phải trả > Công Ty Cổ Phần DV và ĐT Đất Xanh Đông Nam Bộ,Công Ty Cổ Phần DV và ĐT Đất Xanh Đông Nam Bộ,1.273.321.716,1.589.825.478,1273321716.0,1589825478.0
CTy CP Đầu Tư Và Dịch Vụ Đất Xanh Miền Nam,Các khoản phải trả > CTy CP Đầu Tư Và Dịch Vụ Đất Xanh Miền Nam,CTy CP Đầu Tư Và Dịch Vụ Đất Xanh Miền Nam,417.147.545,67.310.645,417147545.0,67310645.0
Công ty CP Xây dựng Địa Ốc Long Kim Phát,Các khoản phải trả > Công ty CP Xây dựng Địa Ốc Long Kim Phát,Công ty CP Xây dựng Địa Ốc Long Kim Phát,32.356.155.919,-,32356155919.0,
Công Ty TNHH Xây dựng -TM - DV Hà Thuận Hùng,Các khoản phải trả > Công Ty TNHH Xây dựng -TM - DV Hà Thuận Hùng,Công Ty TNHH Xây dựng -TM - DV Hà Thuận Hùng,47.960.621.494,-,47960621494.0,
Lương Trí Thảo,Các khoản phải trả > Lương Trí Thảo,Lương Trí Thảo,552.459.000,-,552459000.0,
Lương Trí Thìn,Các khoản phải trả > Lương Trí Thìn,Lương Trí Thìn,42.000.000,-,42000000.0,
Lương Trí Tú,Các khoản phải trả > Lương Trí Tú,Lương Trí Tú,41.050.000,-,41050000.0,
