row_label_raw,row_label_full,THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo),THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo)_1,THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo)_2
,,,2015,2014,2015.0,2014.0
Phí dịch vụ bán hàng dự án Sunview,Phí dịch vụ bán hàng dự án Sunview,Phí dịch vụ bán hàng dự án Sunview,VND,VND,,
Công ty Cổ Phần Đất Xanh Miền Bắc,Phí dịch vụ bán hàng dự án Sunview > Công ty Cổ Phần Đất Xanh Miền Bắc,Công ty Cổ Phần Đất Xanh Miền Bắc,-,295.130.528,,295130528.0
Công ty CP ĐT & DV Đất Xanh Miền Nam,Phí dịch vụ bán hàng dự án Sunview > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,162.236.244,804.513.492,162236244.0,804513492.0
Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,,
Công ty Cổ Phần Đầu tư LDG,Lãi tiền vay > Công ty Cổ Phần Đầu tư LDG,Công ty Cổ Phần Đầu tư LDG,3.567.187.500,1.170.000.000,3567187500.0,1170000000.0
Chi cho vay,Chi cho vay,Chi cho vay,Chi cho vay,Chi cho vay,,
Công ty Cổ Phần Đầu tư LDG,Chi cho vay > Công ty Cổ Phần Đầu tư LDG,Công ty Cổ Phần Đầu tư LDG,-,20.000.000.000,,20000000000.0
Công ty Cổ Phần Địa Óc Tâm Thông,Chi cho vay > Công ty Cổ Phần Địa Óc Tâm Thông,Công ty Cổ Phần Địa Óc Tâm Thông,4.684.072.919,-,4684072919.0,
Công ty Cổ Phần Đất Xanh Miền Bắc,Chi cho vay > Công ty Cổ Phần Đất Xanh Miền Bắc,Công ty Cổ Phần Đất Xanh Miền Bắc,10.000.000.000,-,10000000000.0,
Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,,
Công ty Cổ Phần Đầu tư LDG,Thu hồi khoản cho vay > Công ty Cổ Phần Đầu tư LDG,Công ty Cổ Phần Đầu tư LDG,15.000.000.000,-,15000000000.0,
Thu tiền phân chia doanh thu,Thu tiền phân chia doanh thu,Thu tiền phân chia doanh thu,Thu tiền phân chia doanh thu,Thu tiền phân chia doanh thu,,
Công ty Cổ Phần Đất Xanh Miền Trung,Thu tiền phân chia doanh thu > Công ty Cổ Phần Đất Xanh Miền Trung,Công ty Cổ Phần Đất Xanh Miền Trung,764.286.484,-,764286484.0,
Công ty CP ĐT & DV Đất Xanh Miền Nam,Thu tiền phân chia doanh thu > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,38.553.989.588,-,38553989588.0,
Công ty CP Dịch vụ & Địa Óc Đất Xanh Miền Bắc,Thu tiền phân chia doanh thu > Công ty CP Dịch vụ & Địa Óc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Óc Đất Xanh Miền Bắc,26.499.797.923,-,26499797923.0,
Thu hộ tiền bán sản phẩm,Thu hộ tiền bán sản phẩm,Thu hộ tiền bán sản phẩm,Thu hộ tiền bán sản phẩm,Thu hộ tiền bán sản phẩm,,
Công ty CP Xây dựng Địa ốc Long Kim Phát,Thu hộ tiền bán sản phẩm > Công ty CP Xây dựng Địa ốc Long Kim Phát,Công ty CP Xây dựng Địa ốc Long Kim Phát,73.776.483.642,45.407.638.218,73776483642.0,45407638218.0
Công Ty TNHH Xây dựng -TM - DV Hà Thuận Hùng,Thu hộ tiền bán sản phẩm > Công Ty TNHH Xây dựng -TM - DV Hà Thuận Hùng,Công Ty TNHH Xây dựng -TM - DV Hà Thuận Hùng,12.303.574.945,5.151.624.336,12303574945.0,5151624336.0
Thu hộ phí dịch vụ,Thu hộ phí dịch vụ,Thu hộ phí dịch vụ,Thu hộ phí dịch vụ,Thu hộ phí dịch vụ,,
Công ty CP ĐT & DV Đất Xanh Miền Nam,Thu hộ phí dịch vụ > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,2.404.690.000,370.000.000,2404690000.0,370000000.0
Chi hợp tác đầu tư,Chi hợp tác đầu tư,Chi hợp tác đầu tư,Chi hợp tác đầu tư,Chi hợp tác đầu tư,,
Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Chi hợp tác đầu tư > Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,137.036.593.000,19.808.021.200,137036593000.0,19808021200.0
Công ty Cổ Phần Đất Xanh Miền Trung,Chi hợp tác đầu tư > Công ty Cổ Phần Đất Xanh Miền Trung,Công ty Cổ Phần Đất Xanh Miền Trung,10.419.000.000,-,10419000000.0,
Công ty CP ĐT & DV Đất Xanh Miền Nam,Chi hợp tác đầu tư > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,54.939.703.464,-,54939703464.0,
Thu hoàn vốn hợp tác đầu tư,Thu hoàn vốn hợp tác đầu tư,Thu hoàn vốn hợp tác đầu tư,Thu hoàn vốn hợp tác đầu tư,Thu hoàn vốn hợp tác đầu tư,,
Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Thu hoàn vốn hợp tác đầu tư > Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,47.132.124.784,28.028.121.200,47132124784.0,28028121200.0
Công ty Cổ Phần Đất Xanh Miền Trung,Thu hoàn vốn hợp tác đầu tư > Công ty Cổ Phần Đất Xanh Miền Trung,Công ty Cổ Phần Đất Xanh Miền Trung,1.581.606.026,-,1581606026.0,
Công ty CP ĐT & DV Đất Xanh Miền Nam,Thu hoàn vốn hợp tác đầu tư > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,2.464.449.256,-,2464449256.0,
Nhận cổ tức 2015,Nhận cổ tức 2015,Nhận cổ tức 2015,Nhận cổ tức 2015,Nhận cổ tức 2015,,
Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Nhận cổ tức 2015 > Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,16.192.500.000,-,16192500000.0,
Công ty Cổ Phần Đất Xanh Miền Trung,Nhận cổ tức 2015 > Công ty Cổ Phần Đất Xanh Miền Trung,Công ty Cổ Phần Đất Xanh Miền Trung,23.166.880.000,-,23166880000.0,
