row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2018Nghìn VND,Tập đoàn > 1/1/2018Nghìn VND,Công tv > 31/12/2018Nghìn VND,Công tv > 1/1/2018Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2018Nghìn VND,numeric__Tập đoàn > 1/1/2018Nghìn VND,numeric__Công tv > 31/12/2018Nghìn VND,numeric__Công tv > 1/1/2018Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,4.333.718.245,3.456.003.440,47.959.283,2.782.039,100.0,,4333718245.0,3456003440.0,47959283.0,2782039.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,467.220.260,780.414.201,3.288.566,483.619,110.0,6.0,467220260.0,780414201.0,3288566.0,483619.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,263.449.041,82.470.201,234.588,83.619,111.0,,263449041.0,82470201.0,234588.0,83619.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,203.771.219,697.944.000,3.053.978,400.000,112.0,,203771219.0,697944000.0,3053978.0,400000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,-,32.500.000,-,-,120.0,,,32500000.0,,
Đầu tư nấm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,123,,-,32.500.000,-,-,123.0,,,32500000.0,,
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,1.612.852.955,860.460.818,44.670.717,2.298.420,130.0,,1612852955.0,860460818.0,44670717.0,2298420.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,,960.321.689,368.595.772,-,-,131.0,,960321689.0,368595772.0,,
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,175.750.070,78.568.122,-,-,132.0,,175750070.0,78568122.0,,
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,7,476.781.196,420.152.488,44.670.717,2.298.420,136.0,7.0,476781196.0,420152488.0,44670717.0,2298420.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,,-,(6.855.564),-,-,137.0,,,-6855564.0,,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,8,1.646.014.138,1.409.062.969,-,-,140.0,8.0,1646014138.0,1409062969.0,,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,1.646.014.138,1.409.062.969,-,-,141.0,,1646014138.0,1409062969.0,,
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,607.630.892,373.565.452,-,-,150.0,,607630892.0,373565452.0,,
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,45.996.377,47.822.640,-,-,151.0,,45996377.0,47822640.0,,
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,561.634.515,325.742.812,-,-,152.0,,561634515.0,325742812.0,,
