row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tại ngày 31 tháng 12 năm 2018,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Đồng Nghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Fluorit Nghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Vonfram Nghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Các bộ phận khác Nghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộng Nghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Đồng Nghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Fluorit Nghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Vonfram Nghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Các bộ phận khác Nghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộng Nghìn VND
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,186.484.856,972.966.046,2.004.682.073,1.270.847.365,4.434.980.340,186484856.0,972966046.0,2004682073.0,1270847365.0,4434980340.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,23.514.145.227,,,,,23514145227.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,27.949.125.567,,,,,27949125567.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,15.823.171.322,,,,,15823171322.0
Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,Đồng Nghìn VND,Fluorit Nghìn VND,Vonfram Nghìn VND,Các bộ phận khác Nghìn VND,Tổng cộng Nghìn VND,,,,,
Tải sản của bộ phận,Tại ngày 1 tháng 1 năm 2018 > Tải sản của bộ phận,Tải sản của bộ phận,200.633.583,1.044.504.878,2.116.034.761,1.367.325.434,4.728.498.656,200633583.0,1044504878.0,2116034761.0,1367325434.0,4728498656.0
Tải sản không phân bổ,Tại ngày 1 tháng 1 năm 2018 > Tải sản không phân bổ,Tải sản không phân bổ,,,,,22.415.712.206,,,,,22415712206.0
Tổng tài sản,Tại ngày 1 tháng 1 năm 2018 > Tổng tài sản,Tổng tài sản,,,,,27.144.210.862,,,,,27144210862.0
Tổng nợ phải trả,Tại ngày 1 tháng 1 năm 2018 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,15.132.604.815,,,,,15132604815.0
