row_label_raw,row_label_full,Từ ngày 1/1/2018 đến ngày 31/12/2018,Việt NamNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,BịNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,Cộng hòaSécNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,Nhật BảnNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,MỹNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,SingaporeNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,Các nướckhácNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,Tổng cộngNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,numeric__Việt NamNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,numeric__BịNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,numeric__Cộng hòaSécNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,numeric__Nhật BảnNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,numeric__MỹNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,numeric__SingaporeNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,numeric__Các nướckhácNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018,numeric__Tổng cộngNghìn VND > Từ ngày 1/1/2018 đến ngày 31/12/2018
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,,
bán ra ngoài,Doanh thu > bán ra ngoài,bán ra ngoài,991.899.199,1.262.874.650,813.509.380,995.738.741,655.357.744,1.404.428.741,741.202.420,6.865.010.875,991899199.0,1262874650.0,813509380.0,995738741.0,655357744.0,1404428741.0,741202420.0,6865010875.0
Tài sản của bộ phận,Doanh thu > Tài sản của bộ phận,Tài sản của bộ phận,27.949.125.567,-,-,-,-,-,-,27.949.125.567,27949125567.0,,,,,,,27949125567.0
Chi tiêu vốn,Doanh thu > Chi tiêu vốn,Chi tiêu vốn,1.076.471.346,-,-,-,-,-,-,1.076.471.346,1076471346.0,,,,,,,1076471346.0
,,,Việt NamNghìn VND,BịNghìn VND,Cộng hòaSécNghìn VND,Nhật BảnNghìn VND,MỹNghìn VND,SingaporeNghìn VND,Các nướckhácNghìn VND,Tổng cộngNghìn VND,,,,,,,,
Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,,
bán ra ngoài,Doanh thu > bán ra ngoài,bán ra ngoài,773.289.698,633.523.148,634.725.734,584.399.940,808.668.959,1.029.182.050,940.855.572,5.404.645.101,773289698.0,633523148.0,634725734.0,584399940.0,808668959.0,1029182050.0,940855572.0,5404645101.0
Tài sản của bộ phận,Doanh thu > Tài sản của bộ phận,Tài sản của bộ phận,27.144.210.862,-,-,-,-,-,-,27.144.210.862,27144210862.0,,,,,,,27144210862.0
Chi tiêu vốn,Doanh thu > Chi tiêu vốn,Chi tiêu vốn,940.730.520,-,-,-,-,-,-,940.730.520,940730520.0,,,,,,,940730520.0
