row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Nghìn VND,Máy móc và thiết bị Nghìn VND,Dụng cụ văn phòng Nghìn VND,Phương tiện vận chuyển Nghìn VND,Tài sản khai thác khoáng sản khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Nhà cửa và vật kiến trúc Nghìn VND,numeric__Máy móc và thiết bị Nghìn VND,numeric__Dụng cụ văn phòng Nghìn VND,numeric__Phương tiện vận chuyển Nghìn VND,numeric__Tài sản khai thác khoáng sản khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.243.033.707,12.480.157.847,41.195.861,19.787.186,5.026.291.284,21.810.465.885,4243033707.0,12480157847.0,41195861.0,19787186.0,5026291284.0,21810465885.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.622.544,742.913,-,-,3.365.457,,2622544.0,742913.0,,,3365457.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 13),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 13),455.150.296,141.885.779,-,4.786.840,-,601.822.915,455150296.0,141885779.0,,4786840.0,,601822915.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(4.615.741),-,(4.615.741),,,,-4615741.0,,-4615741.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.698.184.003,12.624.666.170,41.938.774,19.958.285,5.026.291.284,22.411.038.516,4698184003.0,12624666170.0,41938774.0,19958285.0,5026291284.0,22411038516.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,554.998.417,2.137.722.944,33.164.481,15.667.481,717.187.758,3.458.741.081,554998417.0,2137722944.0,33164481.0,15667481.0,717187758.0,3458741081.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,251.305.392,728.039.111,3.454.242,1.850.236,204.273.555,1.188.922.536,251305392.0,728039111.0,3454242.0,1850236.0,204273555.0,1188922536.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(4.568.382),-,(4.568.382),,,,-4568382.0,,-4568382.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,806.303.809,2.865.762.055,36.618.723,12.949.335,921.461.313,4.643.095.235,806303809.0,2865762055.0,36618723.0,12949335.0,921461313.0,4643095235.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.688.035.290,10.342.434.903,8.031.380,4.119.705,4.309.103.526,18.351.724.804,3688035290.0,10342434903.0,8031380.0,4119705.0,4309103526.0,18351724804.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.891.880.194,9.758.904.115,5.320.051,7.008.950,4.104.829.971,17.767.943.281,3891880194.0,9758904115.0,5320051.0,7008950.0,4104829971.0,17767943281.0
