row_label_raw,row_label_full,col_0,Mã số,Tập đoàn > 2018Nghìn VND,Tập đoàn > 2017Nghìn VND,Công ty > 2018Nghìn VND,Công ty > 2017Nghìn VND,numeric__Mã số,numeric__Tập đoàn > 2018Nghìn VND,numeric__Tập đoàn > 2017Nghìn VND,numeric__Công ty > 2018Nghìn VND,numeric__Công ty > 2017Nghìn VND
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
Tiền thu từ đi vay,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,7.517.713.852,2.638.264.656,2.500.000.000,-,33.0,7517713852.0,2638264656.0,2500000000.0,
"Tiền trả nợ gốc vay, trái phiếu và chi phí liên quan đến phát hành trái phiếu","LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay, trái phiếu và chi phí liên quan đến phát hành trái phiếu","Tiền trả nợ gốc vay, trái phiếu và chi phí liên quan đến phát hành trái phiếu",34,(6.999.320.201),(2.467.586.590),-,-,34.0,-6999320201.0,-2467586590.0,,
Tiền trả nợ gốc thuê tài chính,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,(9.026.327),(16.271.187),-,-,35.0,-9026327.0,-16271187.0,,
Tiền trả cổ tức,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả cổ tức,Tiền trả cổ tức,36,-,(26.249.448),-,(26.249.448),36.0,,-26249448.0,,-26249448.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,509.367.324,128.157.431,2.500.000.000,(26.249.448),40.0,509367324.0,128157431.0,2500000000.0,-26249448.0
Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),50,(311.809.379),179.525.870,2.804.947,(413.312),50.0,-311809379.0,179525870.0,2804947.0,-413312.0
Tiền và các khoản tương đương tiền đầu năm,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,780.414.201,603.345.037,483.619,896.931,60.0,780414201.0,603345037.0,483619.0,896931.0
Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,61,(1.384.562),(2.456.706),-,-,61.0,-1384562.0,-2456706.0,,
Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 6),LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 6),Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 6),70,467.220.260,780.414.201,3.288.566,483.619,70.0,467220260.0,780414201.0,3288566.0,483619.0
