row_label_raw,row_label_full,col_0,Mã số,Tập đoàn > 2018Nghìn VND,Tập đoàn > 2017Nghìn VND,Công ty > 2018Nghìn VND,Công ty > 2017Nghìn VND,numeric__Mã số,numeric__Tập đoàn > 2018Nghìn VND,numeric__Tập đoàn > 2017Nghìn VND,numeric__Công ty > 2018Nghìn VND,numeric__Công ty > 2017Nghìn VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,
Lợi nhuận trước thuếĐiều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuếĐiều chỉnh cho các khoản,Lợi nhuận trước thuếĐiều chỉnh cho các khoản,01,828.112.544,292.122.452,1.757.699,11.265,1.0,828112544.0,292122452.0,1757699.0,11265.0
Khấu hao và phân bổ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,1.235.908.778,1.181.620.078,-,-,2.0,1235908778.0,1181620078.0,,
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,41.014.656,43.347.293,-,-,3.0,41014656.0,43347293.0,,
Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,6.989.532,(5.824.568),-,-,4.0,6989532.0,-5824568.0,,
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(27.848.288),(5.741.539),(44.669.471),(14.265),5.0,-27848288.0,-5741539.0,-44669471.0,-14265.0
Chi phí lãi vay và chi phí đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí đi vay,Chi phí lãi vay và chi phí đi vay,06,1.079.797.011,1.012.994.177,40.619.178,-,6.0,1079797011.0,1012994177.0,40619178.0,
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,3.163.974.233,2.518.517.893,(2.292.594),(3.000),8.0,3163974233.0,2518517893.0,-2292594.0,-3000.0
Biến động các khoản phải thu và tài sản ngắn hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản ngắn hạn khác,Biến động các khoản phải thu và tài sản ngắn hạn khác,09,(982.999.214),(454.833.910),2.242.378,(2.242.379),9.0,-982999214.0,-454833910.0,2242378.0,-2242379.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(236.951.168),(296.677.753),-,-,10.0,-236951168.0,-296677753.0,,
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,131.197.383,187.603.914,2.800.367,(181.160),11.0,131197383.0,187603914.0,2800367.0,-181160.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,(93.222.743),(4.225.567),-,-,12.0,-93222743.0,-4225567.0,,
,,,,1.981.998.491,1.950.384.577,2.750.151,(2.426.539),,1981998491.0,1950384577.0,2750151.0,-2426539.0
