row_label_raw,row_label_full,col_0,1/1/2018 > Giá trị ghi số Nghìn VND,1/1/2018 > Số có khả năng trả nợ Nghìn VND,1/1/2018 > Tăng Nghìn VND,Biến động trong năm > Thanh toán Nghìn VND,Biến động trong năm > Chênh lệch tỷ giá chưa thực hiện Nghìn VND,Biến động trong năm > Phân loại lại từ vay dài hạn Nghìn VND,31/12/2018 > Giá trị ghi số Nghìn VND,31/12/2018 > Số có khả năng trả nợ Nghìn VND,numeric__1/1/2018 > Giá trị ghi số Nghìn VND,numeric__1/1/2018 > Số có khả năng trả nợ Nghìn VND,numeric__1/1/2018 > Tăng Nghìn VND,numeric__Biến động trong năm > Thanh toán Nghìn VND,numeric__Biến động trong năm > Chênh lệch tỷ giá chưa thực hiện Nghìn VND,numeric__Biến động trong năm > Phân loại lại từ vay dài hạn Nghìn VND,numeric__31/12/2018 > Giá trị ghi số Nghìn VND,numeric__31/12/2018 > Số có khả năng trả nợ Nghìn VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.397.131.326,2.397.131.326,3.517.713.852,(3.456.320.201),8.836.058,-,2.467.361.035,2.467.361.035,2397131326.0,2397131326.0,3517713852.0,-3456320201.0,8836058.0,,2467361035.0,2467361035.0
Vay dài hạn đến hạn trả (Thuyết minh (b)),Vay dài hạn đến hạn trả (Thuyết minh (b)),Vay dài hạn đến hạn trả (Thuyết minh (b)),1.007.662.690,1.007.662.690,-,(1.009.026.327),-,1.363.637,-,-,1007662690.0,1007662690.0,,-1009026327.0,,1363637.0,,
,,,3.404.794.016,3.404.794.016,3.517.713.852,(4.465.346.528),8.836.058,1.363.637,2.467.361.035,2.467.361.035,3404794016.0,3404794016.0,3517713852.0,-4465346528.0,8836058.0,1363637.0,2467361035.0,2467361035.0
