row_label_raw,row_label_full,col_0,31/12/2023 (VND) > Giá trị ghi số,31/12/2023 (VND) > Dự phòng,01/01/2023 (VND) > Giá trị ghi số,01/01/2023 (VND) > Dự phòng,numeric__31/12/2023 (VND) > Giá trị ghi số,numeric__31/12/2023 (VND) > Dự phòng,numeric__01/01/2023 (VND) > Giá trị ghi số,numeric__01/01/2023 (VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,220.172.742.237,(137.996.850.760),237.037.792.537,(137.996.850.760),220172742237.0,-137996850760.0,237037792537.0,-137996850760.0
Phải thu cổ phần hóa,Phải thu cổ phần hóa,Phải thu cổ phần hóa,4.544.857.219,-,4.544.857.219,-,4544857219.0,,4544857219.0,
Phải thu khác,Phải thu khác,Phải thu khác,212.119.158.557,(137.996.850.760),228.504.401.496,(137.996.850.760),212119158557.0,-137996850760.0,228504401496.0,-137996850760.0
Phải thu Công ty Cổ phần Tô Châu tiền vốn và lãi kinh doanh,Phải thu Công ty Cổ phần Tô Châu tiền vốn và lãi kinh doanh,Phải thu Công ty Cổ phần Tô Châu tiền vốn và lãi kinh doanh,88.280.243.917,(88.280.243.917),88.280.243.917,(88.280.243.917),88280243917.0,-88280243917.0,88280243917.0,-88280243917.0
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,27.689.374.920,-,31.400.299.121,-,27689374920.0,,31400299121.0,
Phải thu CP Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ bảo lãnh,Phải thu CP Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ bảo lãnh,Phải thu CP Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ bảo lãnh,28.000.000.000,(28.000.000.000),28.000.000.000,(28.000.000.000),28000000000.0,-28000000000.0,28000000000.0,-28000000000.0
Phải thu Kho bạc Nhà nước Thành phố Hồ Chí Minh (*),Phải thu Kho bạc Nhà nước Thành phố Hồ Chí Minh (*),Phải thu Kho bạc Nhà nước Thành phố Hồ Chí Minh (*),27.877.394.336,-,27.877.394.336,-,27877394336.0,,27877394336.0,
Phải thu Công ty Xuất nhập khẩu Kiên Giang - Tiền lãi chậm nộp tiền cổ phần hóa,Phải thu Công ty Xuất nhập khẩu Kiên Giang - Tiền lãi chậm nộp tiền cổ phần hóa,Phải thu Công ty Xuất nhập khẩu Kiên Giang - Tiền lãi chậm nộp tiền cổ phần hóa,-,-,7.902.592.072,-,,,7902592072.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,40.272.145.384,(21.716.606.843),45.043.872.050,(21.716.606.843),40272145384.0,-21716606843.0,45043872050.0,-21716606843.0
Tạm ứng,Tạm ứng,Tạm ứng,3.218.526.461,,3.698.333.822,-,3218526461.0,,3698333822.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",290.200.000,,290.200.000,-,290200000.0,,290200000.0,
Dài hạn,Dài hạn,Dài hạn,159.066.534,-,159.066.534,-,159066534.0,,159066534.0,
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,154.066.534,-,108.566.534,-,154066534.0,,108566534.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",5.000.000,-,50.500.000,-,5000000.0,,50500000.0,
Tổng,Tổng,Tổng,220.331.808.771,(137.996.850.760),237.196.859.071,(137.996.850.760),220331808771.0,-137996850760.0,237196859071.0,-137996850760.0
