row_label_raw,row_label_full,col_0,Số ngày quá hạn,Giá gốc,Dự phòng,Giá trị có thể thu hồi,Số ngày quá hạn_1,Giá gốc_1,Dự phòng_1,Giá trị có thể thu hồi_1,numeric__Số ngày quá hạn,numeric__Giá gốc,numeric__Dự phòng,numeric__Giá trị có thể thu hồi,numeric__Số ngày quá hạn_1,numeric__Giá gốc_1,numeric__Dự phòng_1,numeric__Giá trị có thể thu hồi_1
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,,,,,,,
Công ty Cổ phần Lương thực Hậu Giang,Trả trước cho người bán > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Trên 5 năm,63.726.957.750,(63.726.957.750),-,Trên 5 năm,63.726.957.750,(63.726.957.750),-,,63726957750.0,-63726957750.0,,,63726957750.0,-63726957750.0,
- Trả trước cho người bán,Trả trước cho người bán > - Trả trước cho người bán,- Trả trước cho người bán,,73.226.957.750,,,,73.226.957.750,,,,73226957750.0,,,,73226957750.0,,
- Người mua trả tiền trước,Trả trước cho người bán > - Người mua trả tiền trước,- Người mua trả tiền trước,,(9.500.000.000),,,,(9.500.000.000),,,,-9500000000.0,,,,-9500000000.0,,
Công ty TNHH Xuất nhập khẩu,Trả trước cho người bán > Công ty TNHH Xuất nhập khẩu,Công ty TNHH Xuất nhập khẩu,Trên 5 năm,80.816.416.732,(80.816.416.732),-,Trên 5 năm,80.816.416.732,(80.816.416.732),-,,80816416732.0,-80816416732.0,,,80816416732.0,-80816416732.0,
Thương mại Võ Thị Thu Hà,Thương mại Võ Thị Thu Hà,Thương mại Võ Thị Thu Hà,,,,,,,,,,,,,,,,
- Trả trước cho người bán,Thương mại Võ Thị Thu Hà > - Trả trước cho người bán,- Trả trước cho người bán,,87.991.938.232,,,,87.991.938.232,,,,87991938232.0,,,,87991938232.0,,
- Người mua trả tiền trước,Thương mại Võ Thị Thu Hà > - Người mua trả tiền trước,- Người mua trả tiền trước,,(3.803.625.000),,,,(3.803.625.000),,,,-3803625000.0,,,,-3803625000.0,,
- Phải trả người bán,Thương mại Võ Thị Thu Hà > - Phải trả người bán,- Phải trả người bán,,(1.162.500.000),,,,(1.162.500.000),,,,-1162500000.0,,,,-1162500000.0,,
- Cán trừ công nợ phải trả Công ty TNHH Đầu tư Bình Lợi,Thương mại Võ Thị Thu Hà > - Cán trừ công nợ phải trả Công ty TNHH Đầu tư Bình Lợi,- Cán trừ công nợ phải trả Công ty TNHH Đầu tư Bình Lợi,,(2.209.396.500),,,,(2.209.396.500),,,,-2209396500.0,,,,-2209396500.0,,
Công ty TNHH MTV Hòa Tân Lộc,Thương mại Võ Thị Thu Hà > Công ty TNHH MTV Hòa Tân Lộc,Công ty TNHH MTV Hòa Tân Lộc,Trên 5 năm,77.547.337.612,(77.547.337.612),-,Trên 5 năm,77.547.337.612,(77.547.337.612),-,,77547337612.0,-77547337612.0,,,77547337612.0,-77547337612.0,
- Trả trước cho người bán,Thương mại Võ Thị Thu Hà > - Trả trước cho người bán,- Trả trước cho người bán,,78.629.955.300,,,,78.629.955.300,,,,78629955300.0,,,,78629955300.0,,
- Phải trả người bán,Thương mại Võ Thị Thu Hà > - Phải trả người bán,- Phải trả người bán,,(1.082.617.688),,,,(1.082.617.688),,,,-1082617688.0,,,,-1082617688.0,,
Công ty Cổ phần Tập đoàn Thịnh Phát Kon Tum,Thương mại Võ Thị Thu Hà > Công ty Cổ phần Tập đoàn Thịnh Phát Kon Tum,Công ty Cổ phần Tập đoàn Thịnh Phát Kon Tum,Trên 5 năm,77.481.437.313,(77.481.437.313),-,Trên 5 năm,77.481.437.313,(77.481.437.313),-,,77481437313.0,-77481437313.0,,,77481437313.0,-77481437313.0,
Công ty TNHH Đầu tư Bình Lợi,Thương mại Võ Thị Thu Hà > Công ty TNHH Đầu tư Bình Lợi,Công ty TNHH Đầu tư Bình Lợi,Trên 5 năm,12.709.500.000,(12.709.500.000),-,Trên 5 năm,12.709.500.000,(12.709.500.000),-,,12709500000.0,-12709500000.0,,,12709500000.0,-12709500000.0,
Các nhà cung cấp khác,Thương mại Võ Thị Thu Hà > Các nhà cung cấp khác,Các nhà cung cấp khác,Trên 5 năm,15.057.538.968,(15.057.538.968),-,Trên 5 năm,15.057.538.968,(15.057.538.968),-,,15057538968.0,-15057538968.0,,,15057538968.0,-15057538968.0,
,,,,327.339.188.375,(327.339.188.375),,,327.339.188.375,(327.339.188.375),,,327339188375.0,-327339188375.0,,,327339188375.0,-327339188375.0,
