row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântài, truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Đơn vi tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântài, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhữu hình khác,numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2023,NGUYÊN GIÁ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,2.415.395.686.940,1.674.066.688.907,136.437.496.085,41.494.857.709,11.033.724.411,4.278.428.454.052,2415395686940.0,1674066688907.0,136437496085.0,41494857709.0,11033724411.0,4278428454052.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,16.331.984.394,44.755.046.635,1.052.204.566,462.063.636,-,62.601.299.231,16331984394.0,44755046635.0,1052204566.0,462063636.0,,62601299231.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,473.983.048,3.067.798.270,103.111.973,216.063.636,-,3.860.956.927,473983048.0,3067798270.0,103111973.0,216063636.0,,3860956927.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,15.858.001.346,41.687.248.365,949.092.593,246.000.000,-,58.740.342.304,15858001346.0,41687248365.0,949092593.0,246000000.0,,58740342304.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,4.852.439.788,56.476.422.234,872.342.291,341.932.873,33.163.394,62.576.300.580,4852439788.0,56476422234.0,872342291.0,341932873.0,33163394.0,62576300580.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",4.668.892.381,56.476.422.234,872.342.291,341.932.873,33.163.394,62.392.753.173,4668892381.0,56476422234.0,872342291.0,341932873.0,33163394.0,62392753173.0
Tháo dỡ,NGUYÊN GIÁ > Tháo dỡ,Tháo dỡ,183.547.407,-,-,-,-,183.547.407,183547407.0,,,,,183547407.0
Số dư tại 31/12/2023,NGUYÊN GIÁ > Số dư tại 31/12/2023,Số dư tại 31/12/2023,2.426.875.231.546,1.662.345.313.308,136.617.358.360,41.614.988.472,11.000.561.017,4.278.453.452.703,2426875231546.0,1662345313308.0,136617358360.0,41614988472.0,11000561017.0,4278453452703.0
GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,GIÁ TRỊ HAO MÔN LỦY KÊ,,,,,,
Số dư tại 01/01/2023,GIÁ TRỊ HAO MÔN LỦY KÊ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,1.452.600.213.862,1.180.330.579.290,119.005.315.675,37.867.989.260,7.804.696.813,2.797.608.794.900,1452600213862.0,1180330579290.0,119005315675.0,37867989260.0,7804696813.0,2797608794900.0
Tăng trong năm,GIÁ TRỊ HAO MÔN LỦY KÊ > Tăng trong năm,Tăng trong năm,48.208.452.124,133.895.878.758,9.006.132.823,818.997.198,186.279.564,192.115.740.467,48208452124.0,133895878758.0,9006132823.0,818997198.0,186279564.0,192115740467.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KÊ > Khấu hao trong năm,Khấu hao trong năm,48.208.452.124,41.868.406.853,3.869.888.850,818.997.198,186.279.564,94.952.024.589,48208452124.0,41868406853.0,3869888850.0,818997198.0,186279564.0,94952024589.0
Tăng do phân loại,GIÁ TRỊ HAO MÔN LỦY KÊ > Tăng do phân loại,Tăng do phân loại,-,92.027.471.905,5.136.243.973,-,-,97.163.715.878,,92027471905.0,5136243973.0,,,97163715878.0
Giảm trong năm,GIÁ TRỊ HAO MÔN LỦY KÊ > Giảm trong năm,Giảm trong năm,100.669.292.733,52.785.225.779,859.317.085,1.060.834.665,149.222.489,155.523.892.751,100669292733.0,52785225779.0,859317085.0,1060834665.0,149222489.0,155523892751.0
