row_label_raw,row_label_full,col_0,01/01/2023,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__01/01/2023,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
a. Thuế và các khoản phải nộp Nhà nước,a. Thuế và các khoản phải nộp Nhà nước,a. Thuế và các khoản phải nộp Nhà nước,3.790.891.804,61.229.167.661,64.242.596.727,777.462.738,3790891804.0,61229167661.0,64242596727.0,777462738.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.214.194.174,9.046.553.131,10.794.794.166,465.953.139,2214194174.0,9046553131.0,10794794166.0,465953139.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,27.385.941,1.598.211.290,1.343.797.752,281.799.479,27385941.0,1598211290.0,1343797752.0,281799479.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,21.480.000,316.569.550,312.152.430,25.897.120,21480000.0,316569550.0,312152430.0,25897120.0
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,3.222.000,740.321.690,739.730.690,3.813.000,3222000.0,740321690.0,739730690.0,3813000.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.524.609.689,48.423.414.396,49.948.024.085,-,1524609689.0,48423414396.0,49948024085.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,1.104.097.604,1.104.097.604,-,,1104097604.0,1104097604.0,
,,,01/01/2023,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2023,,,,
b. Thuế và các khoản phải thu Nhà nước,b. Thuế và các khoản phải thu Nhà nước,b. Thuế và các khoản phải thu Nhà nước,3.995.897.558,114.791.037,65.630.334,3.946.736.855,3995897558.0,114791037.0,65630334.0,3946736855.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.656.772.447,-,-,3.656.772.447,3656772447.0,,,3656772447.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,98.732.275,85.266.910,36.109.207,49.574.572,98732275.0,85266910.0,36109207.0,49574572.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",240.330.684,9.316.114,9.313.114,240.327.684,240330684.0,9316114.0,9313114.0,240327684.0
Thuế Bảo vệ môi trường và thuế khác,Thuế Bảo vệ môi trường và thuế khác,Thuế Bảo vệ môi trường và thuế khác,62.152,20.208.013,20.208.013,62.152,62152.0,20208013.0,20208013.0,62152.0
