row_label_raw,row_label_full,col_0,Số ngày quá hạn,31/12/2023 (VND) > Giá gốc,31/12/2023 (VND) > Dự phòng,31/12/2023 (VND) > Giá trị có thể thu hồi,01/01/2023 (VND) > Số ngày quá hạn,01/01/2023 (VND) > Giá gốc,01/01/2023 (VND) > Dự phòng,numeric__Số ngày quá hạn,numeric__31/12/2023 (VND) > Giá gốc,numeric__31/12/2023 (VND) > Dự phòng,numeric__31/12/2023 (VND) > Giá trị có thể thu hồi,numeric__01/01/2023 (VND) > Số ngày quá hạn,numeric__01/01/2023 (VND) > Giá gốc,numeric__01/01/2023 (VND) > Dự phòng
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,,,,,,,
Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,Phải thu của khách hàng > Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,Trên 5 năm,58.768.539.483,(58.768.539.483),-,Trên 5 năm,58.768.539.483,(58.768.539.483),,58768539483.0,-58768539483.0,,,58768539483.0,-58768539483.0
Công ty Cổ phần Tô Châu,Phải thu của khách hàng > Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Trên 5 năm,25.865.229.715,(25.865.229.715),-,Trên 5 năm,25.965.229.715,(25.965.229.715),,25865229715.0,-25865229715.0,,,25965229715.0,-25965229715.0
Công ty Cổ phần Lương thực Hậu Giang,Phải thu của khách hàng > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Trên 5 năm,17.298.568.750,(17.298.568.750),-,Trên 5 năm,17.298.568.750,(17.298.568.750),,17298568750.0,-17298568750.0,,,17298568750.0,-17298568750.0
Công ty TNHH Lương thực V.A.P,Phải thu của khách hàng > Công ty TNHH Lương thực V.A.P,Công ty TNHH Lương thực V.A.P,Trên 5 năm,10.033.561.582,(10.033.561.582),-,Trên 5 năm,10.033.561.582,(10.033.561.582),,10033561582.0,-10033561582.0,,,10033561582.0,-10033561582.0
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Phải thu của khách hàng > Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Trên 5 năm,24.361.723.614,(24.361.723.614),-,Trên 5 năm,24.361.723.614,(24.361.723.614),,24361723614.0,-24361723614.0,,,24361723614.0,-24361723614.0
Công ty TNHH Univen (S) Pte,Phải thu của khách hàng > Công ty TNHH Univen (S) Pte,Công ty TNHH Univen (S) Pte,Trên 5 năm,11.512.525.000,(11.512.525.000),-,Trên 5 năm,11.175.887.500,(11.175.887.500),,11512525000.0,-11512525000.0,,,11175887500.0,-11175887500.0
Công ty TNHH MTV Hòa Tân Lộc,Phải thu của khách hàng > Công ty TNHH MTV Hòa Tân Lộc,Công ty TNHH MTV Hòa Tân Lộc,Trên 5 năm,2.893.900.125,(2.893.900.125),-,Trên 5 năm,2.893.900.125,(2.893.900.125),,2893900125.0,-2893900125.0,,,2893900125.0,-2893900125.0
Các khách hàng khác,Phải thu của khách hàng > Các khách hàng khác,Các khách hàng khác,Trên 5 năm,54.084.064.002,(54.084.064.002),-,Trên 5 năm,55.857.538.417,(55.857.538.417),,54084064002.0,-54084064002.0,,,55857538417.0,-55857538417.0
Tổng,Phải thu của khách hàng > Tổng,Tổng,,204.818.112.271,(204.818.112.271),-,,206.354.949.186,(206.354.949.186),,204818112271.0,-204818112271.0,,,206354949186.0,-206354949186.0
