row_label_raw,row_label_full,col_0,31/12/2023 (VND),31/12/2023 (VND)_1,01/01/2023 (VND),01/01/2023 (VND)_1,numeric__31/12/2023 (VND),numeric__31/12/2023 (VND)_1,numeric__01/01/2023 (VND),numeric__01/01/2023 (VND)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,19.063.664.894,-,17.593.939.881,-,19063664894.0,,17593939881.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",227.661.687.205,(7.784.517.275),258.096.331.995,(2.351.369.950),227661687205.0,-7784517275.0,258096331995.0,-2351369950.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",7.193.993.533,-,9.905.290.495,-,7193993533.0,,9905290495.0,
Chi phí SX KDDD,Chi phí SX KDDD,Chi phí SX KDDD,4.516.196.463,-,3.350.062.718,-,4516196463.0,,3350062718.0,
Thành phẩm,Thành phẩm,Thành phẩm,198.841.069.216,(712.123.127),271.860.822.523,(2.673.182.623),198841069216.0,-712123127.0,271860822523.0,-2673182623.0
Hàng hóa,Hàng hóa,Hàng hóa,109.910.079.207,(582.620.104),112.938.501.453,(1.672.359.279),109910079207.0,-582620104.0,112938501453.0,-1672359279.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,4.981.830.450,-,13.988.339.768,-,4981830450.0,,13988339768.0,
Hàng hóa bắt động sản (*),Hàng hóa bắt động sản (*),Hàng hóa bắt động sản (*),46.272.823.236,-,46.272.823.236,-,46272823236.0,,46272823236.0,
Tổng,Tổng,Tổng,618.441.344.204,(9.079.260.506),734.006.112.069,(6.696.911.852),618441344204.0,-9079260506.0,734006112069.0,-6696911852.0
