row_label_raw,row_label_full,col_0,Năm 2023VND,Năm 2022VND,numeric__Năm 2023VND,numeric__Năm 2022VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,3.567.542.452,2.321.621.209,3567542452.0,2321621209.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,(3.567.542.452),(2.321.621.209),-3567542452.0,-2321621209.0
+ Các khoản điều chỉnh tăng,+ Các khoản điều chỉnh tăng,+ Các khoản điều chỉnh tăng,68.599.443.246,80.754.729.832,68599443246.0,80754729832.0
Chênh lệch tỷ giá của tiền gửi và phải thu cuối kỳ,Chênh lệch tỷ giá của tiền gửi và phải thu cuối kỳ,Chênh lệch tỷ giá của tiền gửi và phải thu cuối kỳ,6.542.878,43.937.469.621,6542878.0,43937469621.0
"Chi phí không được trừ (Chi phí không hợp lý, khấu hao tài sản không sử dụng)","Chi phí không được trừ (Chi phí không hợp lý, khấu hao tài sản không sử dụng)","Chi phí không được trừ (Chi phí không hợp lý, khấu hao tài sản không sử dụng)",12.632.353.071,2.837.047.358,12632353071.0,2837047358.0
Chi phí lãi vay giao dịch liên kết,Chi phí lãi vay giao dịch liên kết,Chi phí lãi vay giao dịch liên kết,55.960.547.297,33.980.212.853,55960547297.0,33980212853.0
+ Các khoản điều chỉnh giảm,+ Các khoản điều chỉnh giảm,+ Các khoản điều chỉnh giảm,72.166.985.698,83.076.351.041,72166985698.0,83076351041.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",41.963.204.000,54.867.168.300,41963204000.0,54867168300.0
Chuyển lỗ năm trước sang,Chuyển lỗ năm trước sang,Chuyển lỗ năm trước sang,30.203.781.698,28.209.182.741,30203781698.0,28209182741.0
Tổng thu nhập tính thuế,Tổng thu nhập tính thuế,Tổng thu nhập tính thuế,-,-,,
Thuế suất TNDN,Tổng thu nhập tính thuế > Thuế suất TNDN,Thuế suất TNDN,20%,20%,0.2,0.2
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,-,-,,
