row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,Cổ đông chiến lược,
Công ty Cổ phần Sài Gòn Lương Thực,Công ty Cổ phần Sài Gòn Lương Thực,Công ty Cổ phần Sài Gòn Lương Thực,Công ty con,
Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty con,
Công ty Cổ phần Lương thực Thực phẩm Safoco,Công ty Cổ phần Lương thực Thực phẩm Safoco,Công ty Cổ phần Lương thực Thực phẩm Safoco,Công ty con,
Công ty Cổ phần Bao bi Tiền Giang,Công ty Cổ phần Bao bi Tiền Giang,Công ty Cổ phần Bao bi Tiền Giang,Công ty con,
Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Công ty con,
Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty con,
Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty con,
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,
Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Công ty con,
Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Công ty Cổ phần Lương thực Quảng Ngãi,Công ty con,
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty con,
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty con,
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,
Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,Công ty liên kết,
Công ty Cổ phần Hoàn Mỹ,Công ty Cổ phần Hoàn Mỹ,Công ty Cổ phần Hoàn Mỹ,Công ty liên kết,
Công ty TNHH Lương thực Campuchia - Việt Nam,Công ty TNHH Lương thực Campuchia - Việt Nam,Công ty TNHH Lương thực Campuchia - Việt Nam,Công ty liên kết,
"Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt",Ảnh hưởng đáng kể,
