row_label_raw,row_label_full,Ông Nguyễn Huy Hung,Chủ tịch,numeric__Chủ tịch
Ông Lưu Nguyễn Chí Nhân,Ông Lưu Nguyễn Chí Nhân,Ông Lưu Nguyễn Chí Nhân,Phó Chủ tịch (Bổ nhiệm từ ngày 04/10/2023),
Ông Nguyễn Tiến Dũng,Ông Nguyễn Tiến Dũng,Ông Nguyễn Tiến Dũng,Thành viên (Miễn nhiệm từ ngày 28/02/2024),
Bà Hồ Thị Cẩm Vân,Bà Hồ Thị Cẩm Vân,Bà Hồ Thị Cẩm Vân,Thành viên kiểm người phụ trách Kiểm toán nội bộ (Bổ nhiệm ngày 30/5/2023),
Ông Trần Tấn Đức,Ông Trần Tấn Đức,Ông Trần Tấn Đức,Thành viên (Bổ nhiệm ngày 28/02/2024),
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,
Ông Nguyễn Tuấn Vinh,Ông Nguyễn Tuấn Vinh,Ông Nguyễn Tuấn Vinh,Trường ban,
Ông Nguyễn Như Khoa,Ông Nguyễn Như Khoa,Ông Nguyễn Như Khoa,Thành viên không chuyên trách (Miễn nhiệm ngày 28/02/2024),
Bà Trần Thị Đoàn Thu,Bà Trần Thị Đoàn Thu,Bà Trần Thị Đoàn Thu,Thành viên không chuyên trách (Miễn nhiệm ngày 28/02/2024),
Ông Đào Trọng Hải,Ông Đào Trọng Hải,Ông Đào Trọng Hải,Thành viên (Bổ nhiệm ngày 28/02/2024),
Bà Mẫn Thị Nga,Bà Mẫn Thị Nga,Bà Mẫn Thị Nga,Thành viên (Bổ nhiệm ngày 28/02/2024),
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,
Ông Trần Tấn Đức,Ông Trần Tấn Đức,Ông Trần Tấn Đức,"Tổng Giám đốc (Bổ nhiệm ngày 27/02/2024)Quyền Tổng Giám đốc - Phó Tổng Giám đốc phụ trách các công việc của Tổng Giám đốc (Từ ngày 04/3/2022 đến ngày 26/02/2024 theo Giấy ủy quyền 25/GUQ-LTMN ngày 15/02/2022 và Nghị quyết 09/NQ-LTMN-HĐQT ngày 29/3/2022, Quyết định số 34/QĐ-LTMN-HĐQT ngày 22/3/2022).",
Ông Bạch Ngọc Văn,Ông Bạch Ngọc Văn,Ông Bạch Ngọc Văn,Phó Tổng Giám đốc,
Ông Trần Hoàng Ngân,Ông Trần Hoàng Ngân,Ông Trần Hoàng Ngân,Phó Tổng Giám đốc (Bổ nhiệm ngày 09/02/2023),
Ông Nguyễn Văn Hiền,Ông Nguyễn Văn Hiền,Ông Nguyễn Văn Hiền,Phó Tổng Giám đốc (Bổ nhiệm ngày 09/02/2023),
