row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.636.785.340.000,149.798.900.000,36.000.000.000,(1.080.000),112.887.864.111,528.472.274.282,5.463.943.298.393,4636785340000.0,149798900000.0,36000000000.0,-1080000.0,112887864111.0,528472274282.0,5463943298393.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,8.155.464.591,8.155.464.591,,,,,,8155464591.0,8155464591.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,19.088.724.975,(32.450.832.457),(13.362.107.482),,,,,19088724975.0,-32450832457.0,-13362107482.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(26.920.144),(26.920.144),,,,,,-26920144.0,-26920144.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.636.785.340.000,149.798.900.000,36.000.000.000,(1.080.000),131.976.589.086,504.149.986.272,5.458.709.735.358,4636785340000.0,149798900000.0,36000000000.0,-1080000.0,131976589086.0,504149986272.0,5458709735358.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.636.785.340.000,149.798.900.000,36.000.000.000,(1.080.000),131.976.589.086,504.149.986.272,5.458.709.735.358,4636785340000.0,149798900000.0,36000000000.0,-1080000.0,131976589086.0,504149986272.0,5458709735358.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,44.672.886.698,44.672.886.698,,,,,,44672886698.0,44672886698.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(3.582.050),(3.582.050),,,,,,-3582050.0,-3582050.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.636.785.340.000,149.798.900.000,36.000.000.000,(1.080.000),131.976.589.086,548.819.290.920,5.503.379.040.006,4636785340000.0,149798900000.0,36000000000.0,-1080000.0,131976589086.0,548819290920.0,5503379040006.0
