row_label_raw,row_label_full,Tên công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty TNHH Cen Prime,- Công ty TNHH Cen Prime,- Công ty TNHH Cen Prime,"Tầng 2, số 137 đường Nguyễn Ngọc Vũ, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội",100%,100%,Môi giới bắt động sản; sản giao dịch bắt động sản; tư vấn và quản lý bắt động sản; tư vấn quản lý; dịch vụ hỗ trợ tài chính.,,1.0,1.0,
- Công ty TNHH Quản lý Đối tác Liên kết Cen,- Công ty TNHH Quản lý Đối tác Liên kết Cen,- Công ty TNHH Quản lý Đối tác Liên kết Cen,"Số 137 đường Nguyễn Ngọc Vũ, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội",100%,100%,"Dịch vụ tư vấn, môi giới, dấu giá bắt động sản, dấu giá quyền sử dụng đất.",,1.0,1.0,
- Công ty TNHH Cen Cuckoo,- Công ty TNHH Cen Cuckoo,- Công ty TNHH Cen Cuckoo,"Tầng 1, tòa B Sky City, số 88 Láng Hạ, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",100%,100%,"Dịch vụ tư vấn, môi giới, dấu giá bắt động sản, dấu giá quyền sử dụng đất.",,1.0,1.0,
- Công ty Cổ phần Cen Academy,- Công ty Cổ phần Cen Academy,- Công ty Cổ phần Cen Academy,"Số 19 Trúc Khê, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",56%,56%,"Đào tạo, bồi dưỡng kiến thức hành nghề môi giới bắt động sản.",,0.56,0.56,
- Công ty Cổ phần Cen HCM (*),- Công ty Cổ phần Cen HCM (*),- Công ty Cổ phần Cen HCM (*),"57 Nguyễn Cơ Thạch, An Lợi Đông, quận 2, Hồ Chí Minh",100%,94%,"Kinh doanh bắt động sản, dịch vụ bắt động sản; xây dựng; kinh doanh nhà hàng và các dịch vụ liên quan khác.",,1.0,0.94,
- Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phó Xanh Group,- Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phó Xanh Group,- Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phó Xanh Group,"Số 137 đường Nguyễn Ngọc Vũ, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội",51%,51%,"Kinh doanh bắt động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê. Tư vấn, môi giới, quản lý, quảng cáo bắt động sản.",,0.51,0.51,
