row_label_raw,row_label_full,Theo lĩnh vực kinh doanh,Theo lĩnh vực kinh doanh_1,Theo lĩnh vực kinh doanh_2,Theo lĩnh vực kinh doanh_3,Theo lĩnh vực kinh doanh_4,numeric__Theo lĩnh vực kinh doanh_1,numeric__Theo lĩnh vực kinh doanh_2,numeric__Theo lĩnh vực kinh doanh_3,numeric__Theo lĩnh vực kinh doanh_4
,,,Hoạt động môi giới bất động sản,Hoạt động chuyển nhượng bất động sản,Hoạt động cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,,,,
,,,,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,843.396.739.372,472.656.827.793,76.560.811.467,1.392.614.378.632,843396739372.0,472656827793.0,76560811467.0,1392614378632.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,706.343.121.342,390.202.681.319,62.618.464.390,1.159.164.267.051,706343121342.0,390202681319.0,62618464390.0,1159164267051.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,137.053.618.030,82.454.146.474,13.942.347.077,233.450.111.581,137053618030.0,82454146474.0,13942347077.0,233450111581.0
Tổng chi phí mua TSCD,Tổng chi phí mua TSCD,Tổng chi phí mua TSCD,,-,57.979.412.967,57.979.412.967,,,57979412967.0,57979412967.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.675.927.011.450,3.511.558.602.685,224.941.277.014,6.412.426.891.149,2675927011450.0,3511558602685.0,224941277014.0,6412426891149.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,-,-,439.490.877.627,,,,439490877627.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,2.675.927.011.450,3.511.558.602.685,282.920.689.981,6.851.917.768.776,2675927011450.0,3511558602685.0,282920689981.0,6851917768776.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,213.532.903.589,498.610.274.336,12.470.097.454,387.820.939.187,213532903589.0,498610274336.0,12470097454.0,387820939187.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,-,-,960.717.789.583,,,,960717789583.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,213.532.903.589,498.610.274.336,12.470.097.454,1.348.538.728.770,213532903589.0,498610274336.0,12470097454.0,1348538728770.0
