row_label_raw,row_label_full,Tên dự án,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
,,,VND,VND,,
"Dự án Tân Mỹ, Bắc Giang","Dự án Tân Mỹ, Bắc Giang","Dự án Tân Mỹ, Bắc Giang",50.000.000.000,-,50000000000.0,
Dự án Dabaco Lạc Vệ,Dự án Dabaco Lạc Vệ,Dự án Dabaco Lạc Vệ,-,34.000.000.000,,34000000000.0
Dự án Bình Minh,Dự án Bình Minh,Dự án Bình Minh,47.450.299.008,73.450.299.008,47450299008.0,73450299008.0
Dự án Eurowindow,Dự án Eurowindow,Dự án Eurowindow,-,132.200.000.000,,132200000000.0
Dự án Dabaco Lý Thái Tổ,Dự án Dabaco Lý Thái Tổ,Dự án Dabaco Lý Thái Tổ,-,33.200.000.000,,33200000000.0
Dự án Hoa Tiên Paradise (*),Dự án Hoa Tiên Paradise (*),Dự án Hoa Tiên Paradise (*),478.811.249.251,506.311.249.251,478811249251.0,506311249251.0
Dự án Lilaha,Dự án Lilaha,Dự án Lilaha,400.000.000.000,-,400000000000.0,
Dự án tòa nhà VP Plaschem,Dự án tòa nhà VP Plaschem,Dự án tòa nhà VP Plaschem,143.477.956.751,-,143477956751.0,
Cộng,Cộng,Cộng,1.119.739.505.010,779.161.548.259,1119739505010.0,779161548259.0
