row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Ngày đáo hạn,Mục đích vay,Hình thức bảo đảm,31/12/2024 > VND,01/01/2024 > VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Ngày đáo hạn,numeric__Mục đích vay,numeric__Hình thức bảo đảm,numeric__31/12/2024 > VND,numeric__01/01/2024 > VND
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,1.271.997.780,1.354.720.000,,,,,,1271997780.0,1354720000.0
Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,VND,"7,7%",2025,Mua sắm tài sản,Tài sản,436.720.000,1.354.720.000,,0.077,2025.0,,,436720000.0,1354720000.0
Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,,,,,,,
Ngân hàng Thương mại Cổ phần,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà > Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,VND,"7,2%",2027,Mua sắm tài sản,Tài sản,835.277.780,-,,0.07200000000000001,2027.0,,,835277780.0,
Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,,,,,,,
,,,,,,,,1.271.997.780,1.354.720.000,,,,,,1271997780.0,1354720000.0
,,,,,,,,(760.053.328),(918.000.000),,,,,,-760053328.0,-918000000.0
,,,,,,,,511.944.452,436.720.000,,,,,,511944452.0,436720000.0
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,,,,,,,
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,,,,,,,
