row_label_raw,row_label_full,col_0,col_1,01/01/2024 > Giá trịVND,01/01/2024 > Dự phòngVND,Trong năm > TăngVND,Trong năm > GiảmVND,31/12/2024 > Giá trịVND,31/12/2024 > Dự phòngVND,numeric__col_1,numeric__01/01/2024 > Giá trịVND,numeric__01/01/2024 > Dự phòngVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__31/12/2024 > Giá trịVND,numeric__31/12/2024 > Dự phòngVND
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,,,,,,
- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Bên khác > - Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,3.760.700.000,-,-,-,3.760.700.000,-,,3760700000.0,,,,3760700000.0,
- Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Bên khác > - Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,- Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,- Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,351.943.000.000,-,-,351.943.000.000,-,-,,351943000000.0,,,351943000000.0,,
- Công ty Cổ phần CONSGROUP,Bên khác > - Công ty Cổ phần CONSGROUP,- Công ty Cổ phần CONSGROUP,- Công ty Cổ phần CONSGROUP,39.000.000.000,-,-,-,39.000.000.000,-,,39000000000.0,,,,39000000000.0,
- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Bên khác > - Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,11.399.372.948,-,3.173.563.096,14.572.936.044,-,-,,11399372948.0,,3173563096.0,14572936044.0,,
,,,,406.103.072.948,-,3.173.563.096,366.515.936.044,42.760.700.000,-,,406103072948.0,,3173563096.0,366515936044.0,42760700000.0,
Thông tin chi tiết về các khoản cho vay như sau:Tên bên vay/Hợp đồng cho vay/loại tiền,Thông tin chi tiết về các khoản cho vay như sau:Tên bên vay/Hợp đồng cho vay/loại tiền,Thông tin chi tiết về các khoản cho vay như sau:Tên bên vay/Hợp đồng cho vay/loại tiền,Mục đích vay,,Lãi suất năm,Thời hạn vay,Hình thức đảm bảo,31/12/2024VND,01/01/2024VND,,,,,,,
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,,,,,,
Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,,,,,,,
Hợp đồng số 1012/2020/HĐVV/CEN-DAINAMSON vay bằng VND,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn > Hợp đồng số 1012/2020/HĐVV/CEN-DAINAMSON vay bằng VND,Hợp đồng số 1012/2020/HĐVV/CEN-DAINAMSON vay bằng VND,"Thanh toán các chi phí đầu tư của dự án ""Xây dựng khu nhà ở thương mại An Bình Cần Thơ""",20%/năm,20 tháng,Tín chấp,3.760.700.000,3.760.700.000,,,,,,3760700000.0,3760700000.0,
Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,,,,,,,
Hợp đồng số 2312/2022/HĐVTS/TL-CRE vay bằng VND,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink > Hợp đồng số 2312/2022/HĐVTS/TL-CRE vay bằng VND,Hợp đồng số 2312/2022/HĐVTS/TL-CRE vay bằng VND,"Sử dụng vào mục đích đầu tư, kinh doanh",11%/năm,12 tháng,Tín chấp,-,351.943.000.000,,,,,,,351943000000.0,
Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,,,,,,,
Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Công ty Cổ phần CONSGROUP > Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Vay vốn nhằm ký quỹ để đảm bảo độc quyền phân phối bằng hàng tại dự án khu căn hộ FPT Plaza 2,11%/năm (từ 01/03/2024 là 7%/năm),24 tháng kể từ 10/10/2023,Tín chấp,39.000.000.000,39.000.000.000,,,,,,39000000000.0,39000000000.0,
Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,,,,,,,
Thỏa thuận bù trừ bằng VND,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào > Thỏa thuận bù trừ bằng VND,Thỏa thuận bù trừ bằng VND,Chuyển nhượng dự án Eco Central Park,,,,,-,11.399.372.948,,,,,,,11399372948.0
,,,,,,,,42.760.700.000,406.103.072.948,,,,,,42760700000.0,406103072948.0
