row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Thời hạn vay,Mục đích vay,Hình thức bảo đảm,31/12/2024 > VND,01/01/2024 > VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Hình thức bảo đảm,numeric__31/12/2024 > VND,numeric__01/01/2024 > VND
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,566.927.446.362,313.623.051.821,,,,,,566927446362.0,313623051821.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,VND,"6,0% - 6,7%",160 ngày,Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh,Tài sản (1),332.311.607.573,84.917.091.846,,,,,,332311607573.0,84917091846.0
Ngân hàng TMCP Quân Đội - Chi nhánh Đồng Đa,Ngân hàng TMCP Quân Đội - Chi nhánh Đồng Đa,Ngân hàng TMCP Quân Đội - Chi nhánh Đồng Đa,VND,"7,86%",Tối đa 12 tháng,"Đầu tư 40 lô đất tại dự án Paradise Đài Lãi, Vĩnh Phúc",Tài sản (2),135.000.000.000,186.705.959.975,,0.0786,,,,135000000000.0,186705959975.0
Ngân hàng TMCP Indovina - Chi nhánh Thiên Long,Ngân hàng TMCP Indovina - Chi nhánh Thiên Long,Ngân hàng TMCP Indovina - Chi nhánh Thiên Long,,"6,60%",6 tháng,Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh,Tài sản (3),99.615.838.789,42.000.000.000,,0.066,,,,99615838789.0,42000000000.0
