row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.479.910.561,45.166.853.674,16.939.190.715,178.585.954.950,116479910561.0,45166853674.0,16939190715.0,178585954950.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,1.336.207.273,119.123.919,1.455.331.192,,1336207273.0,119123919.0,1455331192.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(887.088.857),(869.194.000),(1.756.282.857),,-887088857.0,-869194000.0,-1756282857.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,45.615.972.090,16.189.120.634,178.285.003.285,116479910561.0,45615972090.0,16189120634.0,178285003285.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,22.266.662.125,21.604.913.724,14.402.967.604,58.274.543.453,22266662125.0,21604913724.0,14402967604.0,58274543453.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.516.975.426,5.220.728.773,1.137.995.909,10.875.700.108,4516975426.0,5220728773.0,1137995909.0,10875700108.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(887.088.857),(138.509.701),(1.025.598.558),,-887088857.0,-138509701.0,-1025598558.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.783.637.551,25.938.553.640,15.402.453.812,68.124.645.003,26783637551.0,25938553640.0,15402453812.0,68124645003.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,94.213.248.436,23.561.939.950,2.536.223.111,120.311.411.497,94213248436.0,23561939950.0,2536223111.0,120311411497.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,89.696.273.010,19.677.418.450,786.666.822,110.160.358.282,89696273010.0,19677418450.0,786666822.0,110160358282.0
