row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Thiết bị văn phòng,"Phương tiện vận tải, thiết bị truyền dẫn",Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Thiết bị văn phòng,"numeric__Phương tiện vận tải, thiết bị truyền dẫn",numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.519.406.386.429,9.070.375.535.259,55.028.659.652,337.277.065.384,697.459.364.166,13.679.547.010.890,3519406386429.0,9070375535259.0,55028659652.0,337277065384.0,697459364166.0,13679547010890.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,5.363.401.130,82.952.262.160,3.669.242.960,5.249.413.636,-,97.234.319.886,5363401130.0,82952262160.0,3669242960.0,5249413636.0,,97234319886.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,44.303.047.122,-,-,-,-,44.303.047.122,44303047122.0,,,,,44303047122.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.287.100.942),(4.631.211.541),(1.631.835.370),(15.805.253.545),-,(24.355.401.398),-2287100942.0,-4631211541.0,-1631835370.0,-15805253545.0,,-24355401398.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.566.785.733.739,9.148.696.585.878,57.066.067.242,326.721.225.475,697.459.364.166,13.796.728.976.500,3566785733739.0,9148696585878.0,57066067242.0,326721225475.0,697459364166.0,13796728976500.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.689.045.208.525,5.534.554.054.998,40.275.823.029,296.859.093.147,355.173.915.105,7.915.908.094.804,1689045208525.0,5534554054998.0,40275823029.0,296859093147.0,355173915105.0,7915908094804.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,111.412.780.381,423.550.844.646,3.366.849.639,8.120.447.906,24.155.128.586,570.606.051.158,111412780381.0,423550844646.0,3366849639.0,8120447906.0,24155128586.0,570606051158.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.287.100.942),(4.631.211.541),(1.631.835.370),(15.805.253.545),-,(24.355.401.398),-2287100942.0,-4631211541.0,-1631835370.0,-15805253545.0,,-24355401398.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.798.170.887.964,5.953.473.688.103,42.010.837.298,289.174.287.508,379.329.043.691,8.462.158.744.564,1798170887964.0,5953473688103.0,42010837298.0,289174287508.0,379329043691.0,8462158744564.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.830.361.177.904,3.535.821.480.261,14.752.836.623,40.417.972.237,342.285.449.061,5.763.638.916.086,1830361177904.0,3535821480261.0,14752836623.0,40417972237.0,342285449061.0,5763638916086.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.768.614.845.775,3.195.222.897.775,15.055.229.944,37.546.937.967,318.130.320.475,5.334.570.231.936,1768614845775.0,3195222897775.0,15055229944.0,37546937967.0,318130320475.0,5334570231936.0
