row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ tái phát hành cổ phiếu quỹ,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ tái phát hành cổ phiếu quỹ,1. Tiền thu từ tái phát hành cổ phiếu quỹ,31,989.473.561,-,31.0,989473561.0,
2. Tiền thu từ đi vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,4.263.266.856.787,4.269.269.986.760,33.0,4263266856787.0,4269269986760.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(4.029.372.530.833),(5.035.602.394.249),34.0,-4029372530833.0,-5035602394249.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(254.031.753.850),(637.191.896.150),36.0,-254031753850.0,-637191896150.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(19.147.954.335),(1.403.524.303.639),40.0,-19147954335.0,-1403524303639.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,379.918.467.790,(782.284.325.729),50.0,379918467790.0,-782284325729.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,295.433.782.998,1.077.739.666.905,60.0,295433782998.0,1077739666905.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(524.454.445),(21.558.178),61.0,-524454445.0,-21558178.0
Tiền và tương đương tiền cuối năm (70=50+60+61),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,674.827.796.343,295.433.782.998,70.0,674827796343.0,295433782998.0
