row_label_raw,row_label_full,TÀI SẢN DÀI HẠN,200,7.304.384.563.487,67.328.472.809,7.371.713.036.296,numeric__200,numeric__7.304.384.563.487,numeric__67.328.472.809,numeric__7.371.713.036.296
Chi phí xây dựng cơ bản đồ dang,Chi phí xây dựng cơ bản đồ dang,Chi phí xây dựng cơ bản đồ dang,242,950.935.551.282,1.091.820.909,952.027.372.191,242.0,950935551282.0,1091820909.0,952027372191.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,(11.564.000.000),(2.704.085.959),(14.268.085.959),254.0,-11564000000.0,-2704085959.0,-14268085959.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,295.448.710.359,67.247.959.278,362.696.669.637,261.0,295448710359.0,67247959278.0,362696669637.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,9.139.011.636,1.692.778.581,10.831.790.217,262.0,9139011636.0,1692778581.0,10831790217.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,3.634.750.943.193,29.111.109.077,3.663.862.052.270,300.0,3634750943193.0,29111109077.0,3663862052270.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,47.126.752.061,28.291.303.905,75.418.055.966,313.0,47126752061.0,28291303905.0,75418055966.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,201.355.842.320,819.805.172,202.175.647.492,319.0,201355842320.0,819805172.0,202175647492.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,5.167.908.793.957,41.948.429.025,5.209.857.222.982,400.0,5167908793957.0,41948429025.0,5209857222982.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,489.331.486.884,41.948.429.025,531.279.915.909,421.0,489331486884.0,41948429025.0,531279915909.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,120.813.835.301,41.788.229.587,162.602.064.888,,120813835301.0,41788229587.0,162602064888.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,368.517.651.583,160.199.438,368.677.851.021,,368517651583.0,160199438.0,368677851021.0
