row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,Bản quyền,Tài sản khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Bản quyền,numeric__Tài sản khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,102.202.954.505,26.940.619.538,3.247.354.120,-,132.390.928.163,102202954505.0,26940619538.0,3247354120.0,,132390928163.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,2.658.075.000,-,8.349.028.561,11.007.103.561,,2658075000.0,,8349028561.0,11007103561.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,102.202.954.505,29.598.694.538,3.247.354.120,8.349.028.561,143.398.031.724,102202954505.0,29598694538.0,3247354120.0,8349028561.0,143398031724.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,8.157.155.430,25.676.312.478,3.247.354.120,-,37.080.822.028,8157155430.0,25676312478.0,3247354120.0,,37080822028.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,519.964.395,627.806.567,-,601.711.217,1.749.482.179,519964395.0,627806567.0,,601711217.0,1749482179.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,8.677.119.825,26.304.119.045,3.247.354.120,601.711.217,38.830.304.207,8677119825.0,26304119045.0,3247354120.0,601711217.0,38830304207.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,94.045.799.075,1.264.307.060,-,-,95.310.106.135,94045799075.0,1264307060.0,,,95310106135.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,93.525.834.680,3.294.575.493,-,7.747.317.344,104.567.727.517,93525834680.0,3294575493.0,,7747317344.0,104567727517.0
