row_label_raw,row_label_full,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_1,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_2,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_3,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_4,numeric__LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_1,numeric__LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_2,numeric__LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_3,numeric__LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_4
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,461.083.939.484,14.581.455.048,475.665.394.532,1.0,461083939484.0,14581455048.0,475665394532.0
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,03,(12.568.437.633),2.704.085.959,(9.864.351.674),3.0,-12568437633.0,2704085959.0,-9864351674.0
Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,(26.335.047.806),(25.668.600),(26.360.716.406),9.0,-26335047806.0,-25668600.0,-26360716406.0
Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,10,69.919.084.443,(3.029.048.857),66.890.035.586,10.0,69919084443.0,-3029048857.0,66890035586.0
"Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)""","Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)""","Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)""",11,(72.473.175.283),5.408.534.742,(67.064.640.541),11.0,-72473175283.0,5408534742.0,-67064640541.0
Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,(38.822.478.836),(18.547.537.383),(57.370.016.219),12.0,-38822478836.0,-18547537383.0,-57370016219.0
