row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí tư vấn (*),Chi phí bán hàng > Chi phí tư vấn (*),Chi phí tư vấn (*),60.609.772.294,27.451.616.538,60609772294.0,27451616538.0
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,57.585.129.854,53.892.629.261,57585129854.0,53892629261.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,7.878.754.742,3.408.765.112,7878754742.0,3408765112.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,52.957.893.438,49.604.239.973,52957893438.0,49604239973.0
,,,179.031.550.328,134.357.250.884,179031550328.0,134357250884.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên,Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,84.556.046.040,76.386.301.843,84556046040.0,76386301843.0
Chi phí tư vấn (*),Chi phí quản lý doanh nghiệp > Chi phí tư vấn (*),Chi phí tư vấn (*),60.609.772.294,27.451.616.538,60609772294.0,27451616538.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,15.542.599.638,12.564.136.392,15542599638.0,12564136392.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,81.096.666.102,51.742.311.083,81096666102.0,51742311083.0
,,,241.805.084.074,168.144.365.856,241805084074.0,168144365856.0
