row_label_raw,row_label_full,Tổng Công ty Xi măng Việt Nam,147.828.923.250,80.618.033.670,numeric__147.828.923.250,numeric__80.618.033.670
Công ty Cổ phần Logistics Vicem,Công ty Cổ phần Logistics Vicem,Công ty Cổ phần Logistics Vicem,102.248.769.163,71.810.981.958,102248769163.0,71810981958.0
Công ty Cổ phần Năng lượng và Môi trường Vicem,Công ty Cổ phần Năng lượng và Môi trường Vicem,Công ty Cổ phần Năng lượng và Môi trường Vicem,84.593.752.227,-,84593752227.0,
Công ty Cổ phần Xi măng Vicem Hoàng Mai,Công ty Cổ phần Xi măng Vicem Hoàng Mai,Công ty Cổ phần Xi măng Vicem Hoàng Mai,61.261.132.305,98.190.670.042,61261132305.0,98190670042.0
Công ty Cổ phần Vicem Thạch cao Xi măng,Công ty Cổ phần Vicem Thạch cao Xi măng,Công ty Cổ phần Vicem Thạch cao Xi măng,17.594.957.380,-,17594957380.0,
Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,15.378.704.280,12.190.259.620,15378704280.0,12190259620.0
Công ty TNHH MTV Xi măng Hạ Long,Công ty TNHH MTV Xi măng Hạ Long,Công ty TNHH MTV Xi măng Hạ Long,13.887.406.395,18.137.504.018,13887406395.0,18137504018.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,2.900.081.088,4.487.885.600,2900081088.0,4487885600.0
Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,2.039.073.219,3.564.708.367,2039073219.0,3564708367.0
Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,414.769.848,465.956.400,414769848.0,465956400.0
Công ty Cổ phần Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,-,308.888.800,,308888800.0
Công ty Cổ phần Vận tải và Thương mại Quốc tế,Công ty Cổ phần Vận tải và Thương mại Quốc tế,Công ty Cổ phần Vận tải và Thương mại Quốc tế,-,2.311.365.685,,2311365685.0
,,,448.147.569.155,292.086.254.160,448147569155.0,292086254160.0
