row_label_raw,row_label_full,col_0,NGUỒN VỐN,Thuyết > Mã số,Thuyết > minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
C.,C.,C.,NỘ PHẢI TRÀ,300,,4.271.970.960.984,3.663.862.052.270,,300.0,,4271970960984.0,3663862052270.0
I.,I.,I.,Nợ ngắn hạn,310,,4.255.362.913.679,3.648.346.996.936,,310.0,,4255362913679.0,3648346996936.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,14,1.434.037.560.108,1.208.301.073.996,,311.0,14.0,1434037560108.0,1208301073996.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,15,91.660.829.034,73.652.993.088,,312.0,15.0,91660829034.0,73652993088.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,31.796.446.595,75.418.055.966,,313.0,16.0,31796446595.0,75418055966.0
4.,4.,4.,Phải trả người lao động,314,,169.691.197.365,196.712.964.422,,314.0,,169691197365.0,196712964422.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,8.320.847.250,7.396.332.760,,315.0,17.0,8320847250.0,7396332760.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,18,130.322.265.781,136.004.223.632,,318.0,18.0,130322265781.0,136004223632.0
7.,7.,7.,Phải trả ngắn hạn khác,319,19,386.176.921.021,202.175.647.492,,319.0,19.0,386176921021.0,202175647492.0
8.,8.,8.,Vay ngắn hạn,320,20,1.845.022.377.695,1.611.128.051.741,,320.0,20.0,1845022377695.0,1611128051741.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,158.334.468.830,137.557.653.839,,322.0,,158334468830.0,137557653839.0
II.,II.,II.,Nợ dài hạn,330,,16.608.047.305,15.515.055.334,,330.0,,16608047305.0,15515055334.0
1.,1.,1.,Dự phòng phải trả dài hạn,342,21,16.608.047.305,15.515.055.334,,342.0,21.0,16608047305.0,15515055334.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,5.103.629.109.016,5.209.857.222.982,,400.0,,5103629109016.0,5209857222982.0
I.,I.,I.,Vốn chủ sở hữu,410,22,5.103.629.109.016,5.209.857.222.982,,410.0,22.0,5103629109016.0,5209857222982.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.815.899.110.000,3.815.899.110.000,,411.0,,3815899110000.0,3815899110000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,3.815.899.110.000,3.815.899.110.000,,,,3815899110000.0,3815899110000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,70.877.131.506,70.790.410.045,,412.0,,70877131506.0,70790410045.0
3.,3.,3.,Cổ phiếu quỹ,415,,-,(902.752.100),,415.0,,,-902752100.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,903.345.539.128,792.790.539.128,,418.0,,903345539128.0,792790539128.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,313.507.328.382,531.279.915.909,,421.0,,313507328382.0,531279915909.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,55.863.969.309,162.602.064.888,,,,55863969309.0,162602064888.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,257.643.359.073,368.677.851.021,,,,257643359073.0,368677851021.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,9.375.600.070.000,8.873.719.275.252,,440.0,,9375600070000.0,8873719275252.0
