row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),3.815.899.110.000,70.790.410.045,(902.752.100),770.212.709.128,772.437.188.088,5.428.436.665.161,3815899110000.0,70790410045.0,-902752100.0,770212709128.0,772437188088.0,5428436665161.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,368.677.851.021,368.677.851.021,,,,,368677851021.0,368677851021.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,(129.407.000.000),(129.407.000.000),,,,,-129407000000.0,-129407000000.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,22.577.830.000,(22.577.830.000),-,,,,22577830000.0,-22577830000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,-457850293200.0,-457850293200.0
Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),3.815.899.110.000,70.790.410.045,(902.752.100),792.790.539.128,531.279.915.909,5.209.857.222.982,3815899110000.0,70790410045.0,-902752100.0,792790539128.0,531279915909.0,5209857222982.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,257.643.359.073,257.643.359.073,,,,,257643359073.0,257643359073.0
"Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(135.907.000.000),(135.907.000.000),,,,,-135907000000.0,-135907000000.0
Trích lập Quỹ đầu tư phát triển (i),Trích lập Quỹ đầu tư phát triển (i),Trích lập Quỹ đầu tư phát triển (i),-,-,-,110.555.000.000,(110.555.000.000),-,,,,110555000000.0,-110555000000.0,
Tái phát hành cổ phiếu quỹ (ii),Tái phát hành cổ phiếu quỹ (ii),Tái phát hành cổ phiếu quỹ (ii),-,86.721.461,902.752.100,-,-,989.473.561,,86721461.0,902752100.0,,,989473561.0
Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),-,-,-,-,(228.953.946.600),(228.953.946.600),,,,,-228953946600.0,-228953946600.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.815.899.110.000,70.877.131.506,-,903.345.539.128,313.507.328.382,5.103.629.109.016,3815899110000.0,70877131506.0,,903345539128.0,313507328382.0,5103629109016.0
