row_label_raw,row_label_full,col_0,Quyên sử dụng đất VND,Phân mềm vi tính VND,Khác VND,Tổng cộng VND,numeric__Quyên sử dụng đất VND,numeric__Phân mềm vi tính VND,numeric__Khác VND,numeric__Tổng cộng VND
NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,,,,
Tại ngày 01 tháng 01 năm 2022,NGUYỄN GIÁ > Tại ngày 01 tháng 01 năm 2022,Tại ngày 01 tháng 01 năm 2022,618.292.634,584.500.850,183.403.472,1.386.196.956,618292634.0,584500850.0,183403472.0,1386196956.0
Mua trong năm,NGUYỄN GIÁ > Mua trong năm,Mua trong năm,-,4.024.967.200,-,4.024.967.200,,4024967200.0,,4024967200.0
Tại ngày 31 tháng 12 năm 2022,NGUYỄN GIÁ > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,618.292.634,4.609.468.050,183.403.472,5.411.164.156,618292634.0,4609468050.0,183403472.0,5411164156.0
GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,,,,
Tại ngày 01 tháng 01 năm 2022,GIA TRỊ HAO MON LỦY KẾ > Tại ngày 01 tháng 01 năm 2022,Tại ngày 01 tháng 01 năm 2022,64.441.225,479.500.861,73.361.388,617.303.474,64441225.0,479500861.0,73361388.0,617303474.0
Khấu hao trong năm,GIA TRỊ HAO MON LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,12.881.088,209.446.907,-,222.327.995,12881088.0,209446907.0,,222327995.0
Tại ngày 31 tháng 12 năm 2022,GIA TRỊ HAO MON LỦY KẾ > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,77.322.313,688.947.768,73.361.388,839.631.469,77322313.0,688947768.0,73361388.0,839631469.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày 01 tháng 01 năm 2022,GIÁ TRỊ CÒN LẠI > Tại ngày 01 tháng 01 năm 2022,Tại ngày 01 tháng 01 năm 2022,553.851.409,104.999.989,110.042.084,768.893.482,553851409.0,104999989.0,110042084.0,768893482.0
Tại ngày 31 tháng 12 năm 2022,GIÁ TRỊ CÒN LẠI > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,540.970.321,3.920.520.282,110.042.084,4.571.532.687,540970321.0,3920520282.0,110042084.0,4571532687.0
