row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Nguồn kinh phí và quỹ khác (*) VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Nguồn kinh phí và quỹ khác (*) VND,numeric__Tổng cộng VND
Tại ngày 01.01.2021,Tại ngày 01.01.2021,Tại ngày 01.01.2021,2.673.840.900.000,(208.000.000),4.851.321.687,287.678.877.300,1.146.518.693.388,3.271.772.312.802,7.384.454.105.177,2673840900000.0,-208000000.0,4851321687.0,287678877300.0,1146518693388.0,3271772312802.0,7384454105177.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,268.873.236.620,21.773.948.707,-,290.647.185.327,,,,268873236620.0,21773948707.0,,290647185327.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,1.036.000.000,1.036.000.000,,,,,,1036000000.0,1036000000.0
Tại ngày 31.12.2021,Tại ngày 31.12.2021,Tại ngày 31.12.2021,2.673.840.900.000,(208.000.000),4.851.321.687,556.552.113.920,1.168.292.642.095,3.272.808.312.802,7.676.137.290.504,2673840900000.0,-208000000.0,4851321687.0,556552113920.0,1168292642095.0,3272808312802.0,7676137290504.0
Tăng vốn trong năm (1),Tăng vốn trong năm (1),Tăng vốn trong năm (1),404.203.600.000,(329.900.000),,,,,403.873.700.000,404203600000.0,-329900000.0,,,,,403873700000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,264.050.336.161,33.358.952.709,-,297.409.288.870,,,,264050336161.0,33358952709.0,,297409288870.0
Trả thù lao cho HĐQT&BKS (2),Trả thù lao cho HĐQT&BKS (2),Trả thù lao cho HĐQT&BKS (2),-,-,-,(1.907.000.000),-,-,(1.907.000.000),,,,-1907000000.0,,,-1907000000.0
Trích quỹ Đầu tư phát triển (3),Trích quỹ Đầu tư phát triển (3),Trích quỹ Đầu tư phát triển (3),-,-,2.297.161.693,(2.297.161.693),-,-,-,,,2297161693.0,-2297161693.0,,,
Thay đổi lợi ích cổ đông do thay đổi tỷ lệ sở hữu,Thay đổi lợi ích cổ đông do thay đổi tỷ lệ sở hữu,Thay đổi lợi ích cổ đông do thay đổi tỷ lệ sở hữu,-,-,-,4.122.978.771,(4.122.978.771),-,-,,,,4122978771.0,-4122978771.0,,
Tại ngày 31.12.2022,Tại ngày 31.12.2022,Tại ngày 31.12.2022,3.078.044.500.000,(537.900.000),7.148.483.380,820.521.267.159,1.197.528.616.033,3.272.808.312.802,8.375.513.279.374,3078044500000.0,-537900000.0,7148483380.0,820521267159.0,1197528616033.0,3272808312802.0,8375513279374.0
