row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2022VND,2021VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,2.094.582.751.424,1.861.340.178.631,2094582751424.0,1861340178631.0
Doanh thu các trạm thu phí BOT,Doanh thu các trạm thu phí BOT,Doanh thu các trạm thu phí BOT,1.484.106.158.515,1.264.579.806.368,1484106158515.0,1264579806368.0
Doanh thu hoạt động xây lắp,Doanh thu hoạt động xây lắp,Doanh thu hoạt động xây lắp,530.288.093.030,552.023.885.005,530288093030.0,552023885005.0
"Doanh thu hoạt động duy tu bảo dưỡnghầm, đường","Doanh thu hoạt động duy tu bảo dưỡnghầm, đường","Doanh thu hoạt động duy tu bảo dưỡnghầm, đường",41.129.862.721,2.512.359.092,41129862721.0,2512359092.0
Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,17.921.779.967,8.702.727.273,17921779967.0,8702727273.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,21.136.857.191,33.521.400.893,21136857191.0,33521400893.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,2.094.582.751.424,1.861.340.178.631,2094582751424.0,1861340178631.0
Trong đó doanh thu đối với các bên liên quan,Các khoản giảm trừ doanh thu > Trong đó doanh thu đối với các bên liên quan,Trong đó doanh thu đối với các bên liên quan,224.506.208.652,356.945.581.481,224506208652.0,356945581481.0
Doanh thu hoạt động xây lắp,Các khoản giảm trừ doanh thu > Doanh thu hoạt động xây lắp,Doanh thu hoạt động xây lắp,179.609.025.970,315.545.288.050,179609025970.0,315545288050.0
"Doanh thu hoạt động duy tu bảo dưỡnghầm, đường","Các khoản giảm trừ doanh thu > Doanh thu hoạt động duy tu bảo dưỡnghầm, đường","Doanh thu hoạt động duy tu bảo dưỡnghầm, đường",29.755.784.943,2.512.359.092,29755784943.0,2512359092.0
Doanh thu khác,Các khoản giảm trừ doanh thu > Doanh thu khác,Doanh thu khác,15.141.397.739,38.887.934.339,15141397739.0,38887934339.0
