row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2022VND,2021VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,29.933.411.408,29.774.684.049,29933411408.0,29774684049.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,22.253.982.069,38.953.625.829,22253982069.0,38953625829.0
Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,2.455.031.264,2.455.031.264,2455031264.0,2455031264.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,1.271.480.239,6.858.547.801,1271480239.0,6858547801.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",276.995.651,389.098.578,276995651.0,389098578.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",112.039.574,225.078.113,112039574.0,225078113.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,-,(161.854.500),,-161854500.0
Chi phí khác,Chi phí khác,Chi phí khác,16.571.534.948,16.441.954.652,16571534948.0,16441954652.0
Cộng,Cộng,Cộng,72.874.475.153,94.936.165.786,72874475153.0,94936165786.0
