row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,VI.1,2.094.582.751.424,1.861.340.178.631,,,2094582751424.0,1861340178631.0
02,02,02,Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,VI.1,2.094.582.751.424,1.861.340.178.631,,,2094582751424.0,1861340178631.0
11,02 > 11,11,Giá vốn hàng bán và cung cấp dịch vụ,VI.2,1.078.028.599.115,936.332.401.985,,,1078028599115.0,936332401985.0
20,02 > 20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.016.554.152.309,925.007.776.646,,,1016554152309.0,925007776646.0
21,02 > 21,21,Doanh thu hoạt động tài chính,VI.3,5.444.505.906,21.826.327.951,,,5444505906.0,21826327951.0
22,02 > 22,22,Chi phí tài chính,VI.4,647.600.236.079,550.795.413.210,,,647600236079.0,550795413210.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,,647.600.236.079,550.795.413.210,,,647600236079.0,550795413210.0
24,02 > 24,24,"Phần lãi trong công ty liên doanh, liên kết",,52.722.444.486,11.386.457.188,,,52722444486.0,11386457188.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,VI.5,72.874.475.153,94.936.165.786,,,72874475153.0,94936165786.0
30,02 > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,354.246.391.469,312.488.982.789,,,354246391469.0,312488982789.0
31,02 > 31,31,Thu nhập khác,VI.6,12.438.456,21.170.634.855,,,12438456.0,21170634855.0
32,02 > 32,32,Chi phí khác,VI.7,327.869.704,471.664.486,,,327869704.0,471664486.0
40,02 > 40,40,(Lỗ)/lợi nhuận khác,,(315.431.248),20.698.970.369,,,-315431248.0,20698970369.0
50,02 > 50,50,Tổng lợi nhuận kế toán trước thuế,,353.930.960.221,333.187.953.158,,,353930960221.0,333187953158.0
