row_label_raw,row_label_full,col_0,Thu phí trạmBOTVND,Hoạt động xâylắpVND,Dịch vựtrungchuyểnVND,"Duy tu bảodường cầu,đườngVND",Hoạt độngkhácVND,Tổng cộngVND,numeric__Thu phí trạmBOTVND,numeric__Hoạt động xâylắpVND,numeric__Dịch vựtrungchuyểnVND,"numeric__Duy tu bảodường cầu,đườngVND",numeric__Hoạt độngkhácVND,numeric__Tổng cộngVND
Doanh thu thuần về bán hàng vàcung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng vàcung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng vàcung cấp dịch vụ ra bên ngoài,1.484.106.158.515,530.288.093.030,17.921.779.967,41.129.862.721,21.136.857.191,2.094.582.751.424,1484106158515.0,530288093030.0,17921779967.0,41129862721.0,21136857191.0,2094582751424.0
Tổng doanh thu thuần bánhàng và cung cấp dịch vụ,Tổng doanh thu thuần bánhàng và cung cấp dịch vụ,Tổng doanh thu thuần bánhàng và cung cấp dịch vụ,1.484.106.158.515,530.288.093.030,17.921.779.967,41.129.862.721,21.136.857.191,2.094.582.751.424,1484106158515.0,530288093030.0,17921779967.0,41129862721.0,21136857191.0,2094582751424.0
Kết quả kinh doanh theo bổ phậnCác chi phí không phân bổ theobộ phận,Kết quả kinh doanh theo bổ phậnCác chi phí không phân bổ theobộ phận,Kết quả kinh doanh theo bổ phậnCác chi phí không phân bổ theobộ phận,936.031.312.105,48.135.168.720,3.075.080.724,23.182.514.449,6.130.076.311,1.016.554.152.309(72.874.475.153),936031312105.0,48135168720.0,3075080724.0,23182514449.0,6130076311.0,
Lợi nhuận từ hoạt động kinhdoanh,Lợi nhuận từ hoạt động kinhdoanh,Lợi nhuận từ hoạt động kinhdoanh,,,,,,943.679.677.156,,,,,,943679677156.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,5.444.505.906,,,,,,5444505906.0
Chi phí tải chính,Chi phí tải chính,Chi phí tải chính,,,,,,(647.600.236.079),,,,,,-647600236079.0
"Phận lãi hoặc lỗ trong công ty liênkết, liên doanh","Phận lãi hoặc lỗ trong công ty liênkết, liên doanh","Phận lãi hoặc lỗ trong công ty liênkết, liên doanh",,,,,,52.722.444.486,,,,,,52722444486.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,12.438.456,,,,,,12438456.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(327.869.704),,,,,,-327869704.0
Chi phí thuê thu nhập doanhnghiệp hiện hành,Chi phí thuê thu nhập doanhnghiệp hiện hành,Chi phí thuê thu nhập doanhnghiệp hiện hành,,,,,,(58.772.545.135),,,,,,-58772545135.0
Chi phí thuê thu nhập doanhnghiệp hoãn lại,Chi phí thuê thu nhập doanhnghiệp hoãn lại,Chi phí thuê thu nhập doanhnghiệp hoãn lại,,,,,,2.250.873.784,,,,,,2250873784.0
Lợi nhuận sau thuê thu nhậpdoanh nghiệp,Lợi nhuận sau thuê thu nhậpdoanh nghiệp,Lợi nhuận sau thuê thu nhậpdoanh nghiệp,,,,,,297.409.288.870,,,,,,297409288870.0
Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạnkhác,Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạnkhác,Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạnkhác,,,,,,(196.901.788.609),,,,,,-196901788609.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,(283.718.402.007),,,,,,-283718402007.0
