row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Tên công ty,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
STT,STT,STT,Tên công ty,Địa chỉ,31.12.2022,01.01.2022,31.12.2022,01.01.2022,,,31122022.0,1012022.0,31122022.0,1012022.0
1,1,1,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"32 Thạch Thị Thanh, Phường Tân Định, Quận 1, TP Hồ Chí Minh, Việt Nam","21,95%","21,95%","21,95%","21,95%",,,0.2195,0.2195,0.2195,0.2195
2,2,2,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,"Tầng 16, tòa nhà số 265 Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, TP Hà Nội, Việt Nam","47,21%","47,10%","50,00%","50,00%",,,0.4721,0.47100000000000003,0.5,0.5
3,3,3,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,"Tầng 20, tòa nhà 109 Trần Hưng Đạo, Phường Cửa Nam, Quận Hoàn Kiểm, TP Hà Nội, Việt Nam","31,60%","31,60%","31,60%","31,60%",,,0.316,0.316,0.316,0.316
